Abada, T.
Trovato, F.
Lalu, N.
Adair, L.

Popkin, B.

Guilkey, D.

Agunbiade, O.
Ogunleye, O.

Alemayehu, T.

Haldar, H.
Habte, D.

Amsili, S.

Bachrach, C.

Newcomber, S.

Barber, C.

Beck, L.

Biks, G.

Tariku, A.

Tessema, G.

Blake, S.

Chinebuah, B.

Perez-Escamilla, R.

Cost, K.

Landry, D.

Darroch, J.

Crissey, S.

Cunningham, J.

Jackson, K.

Oickle, D.

D'Angelo, D.

Dearden, K.

Department of Health

Dye, T.

Esterik, P.

Greiner, T.

Finger, W.

Gipson, J.

Koenig, M.

Hindin, M.

Guilkey, D.

Stewart, J.

Haku, M.

Haughton, J.

Gregorio, D.

Perez-Escamilla, R.

Hollander, D.

Hromi, A.

Hromi-Fielder, A.

Perez-Escamilla, R.

Huffman, S.

Kyi Kyi, A.

Kuguoglu S.

Marquez, M.

Marston, C.

Cieland, J.

Mosley, H.

Chen, L.

Perez-Escamilla, R.

Cobas, J.

Balcazar, H.

Benin, M.

Philippine Statistics Authority

Philippine Statistics Authority

ICE International

Relucio-Clavano, N.

Reyes, F.

Sable, M.

Schempf, A.

Shahla, M.

Fahy, K.

Kable, A.

Shapiro-Mendoza, C.

Shapiro-Mendoza, C.

Scott, B.

Stewart, J.

Tanaka, R.

Taylor, J.

Cabral, H.

U.S. Agency for International Development

Ulep, V.

Borja, M.

United Nations Standing Committee on Nutrition

United Nations Children's Emergency Fund

World Health Organization

World Health Organization

World Health Organization

World Health Organization

Yngve, A.

Sjostrom, M.
