Abbott, R.
Hill, K.
Catalano, R.
Hawkins, D.
Ahituv, A.
Tienda, M. 
Ainsworth, M.
Beagle, K.
Koda, G. 
Alexander K.
Entwisle, D.
Dauber, S. 
Alexander, K.
Entwisle, D.
Horsey, C. 
Alexander, K.
Entwisle, D.
Kabbani, N. 
Alexander, K.
Natriello, G.
Pallas, A.
Alwin, D. 
Alwin, D.
Thorton, A. 
Anastasi, A.
Astone, N.
McLanahan, S. 
Bandura, A.
Bandura, A.
Bandura, A.
Bandura, A.
Bandura, A.
Bauer, J.
Racelis, R. 
Baydar, N.
Greek, A.
Brooks-Gunn, J.
Bayer, A. 
Becker, G.
Becker, G.
Tomes, T. 
Beekhoven, S.
Dekkers, H.
Belmont, L.
Marolla, F.
Berbaum, M.
Moreland, R. 
Berja, C.
Ogena, N.
Bills, D.
Helms, L.
Ozcan, M. 
Blake, J.
Blau P.
Duncan, O.
Bourdieu, P.
Branham, D.
Broman, S.
Nichols, P.
Kennedy, W.
Bronfenbrenner, U. 
Cadriel, D.
Case, A.
Paxson, C.
Ableidinger, J.
Cherlin, A.
Furstenberg, F. Jr.
Coleman, J. 
Coleman, J. 
Conley, D. 
Cox D.
Rank, M.
D'Amico, R.
Haurin, R.
Mott, F. 
Dandes, H.
Dow, D.
Daniels, D.
Daniels, M.
Adair, L. 
De Graaf, P.
Huinink, J. 
De Graff, D.
Bilsborrow, R.
Herrin, A. 
Dekkers, H.
Driessen,
Demie, F.
Department of Education
Di Maggio, P.
Douglas, J.
Downey, D.
Downey, D.
Neubauer, S. 
Downey, D.
Powell, B.
Steelman, C.
Pribesh, S. 
Dumont, A.
Duncan, O.
Featherman, D.
Duncan, B.
Eckstein, Z.
Wolpin, K.
Ekstrom, R.
Goertz, M.
Pollack, J.
Rock, D.
Elliott, D.
Voss, H.
Ensminger, M.
Slusarcick, A. 
Ernst, C., & Angst, J.
Featherman, D.
Hauser, R. 
Fitzpatrick, K.
Yoels W.
Flores-Gonzalez, N. 
Frase, M. 
Furstenberg, F. Jr.
Galbraith, R.
Galton, F. 
Garfinkel, I.
McLanahan, S.
Gibson, M. 
Gleason, P.
Dynarski, M.
Glewwe, P.
Jacoby, H.
King, E.
Green, R.
Griffin, B. 
Grotevant, H.
Scarr, S.
Weinberg, R.
Guo, G.
VanWey, L.
Guo, G.
VanWey, L.
Guthrie, G.
Tayag, A.
Jimenez, J.
Harding, D. 
Harrell, J.
Bangdiwala, S.
Webb, J.
Radley, C.
Hauser, R. 
Hauser, R.
