Author	Year	Title	Publication Type
Abbott, R., Hill, K., Catalano, R., & Hawkins, D.	2000	Predictors of early high school dropout: A test of five theories	Journal Article
Ahituv, A., & Tienda, M.	2004	Employment, motherhood, and school continuation decisions of young White, Black, and Hispanic Women	Journal Article
Ainsworth, M., Beagle, K., & Koda, G.	2002	The impact of adult mortality on primary school enrollment in Northwestern Tanzania	X
Alexander K., D.R. Entwisle, D., & Dauber, S.	2002	On the success of failure: A reassessment of the effects of retention in the primary grades	Monograph
Alexander, K., Entwisle, D., & Horsey, C.	1997	From first grade forward: Early foundations of high school dropout	Journal Article
Alexander, K., Entwisle, D., & Kabbani, N.	2001	The dropout processes in life course perspective: Early risk factors at home and school	X
Alexander, K., Natriello, G., Pallas, A.	1985	For whom the school bell tolls: The impact of dropping out on cognitive performance	Journal Article
Alwin, D.	1991	Family of origin and cohort differences in verbal ability	Journal Article
Alwin, D., & Thorton, A.	1984	Family origins and the schooling process: Early versus late influences of parental characteristics	Journal Article
Anastasi, A.	1956	Intelligence and family size	Journal Article
Astone, N., & McLanahan, S.	1991	Family structure, parental practices and high school completion	Journal Article
Bandura, A.	1977	Social learning theory	Monograph
Bandura, A.	1986	Social foundations of thought and action: A social cognitive theory	Monograph
Bandura A.	1989	Social cognitive theory	Journal Article
Bandura, A.	1994	Self-efficacy	Monograph
Bandura, A.	2001	Social cognitive theory: An agentic perspective	Journal Article
Bauer, J., & R. Racelis, R.	1991	Household characteristics, earnings, and the activity status of Filipino Youth	X
Baydar, N., Greek, A., & Brooks-Gunn, J.	1997	A longitudinal study of the effects of the birth of a sibling during preschool and early grade school years	Journal Article
Bayer, A.	1967	Birth order and the attainment of the doctorate: A test of economic hypotheses	Journal Article
Becker, G.	1964	Human capital	Monograph
X	1981	A treatise on the family	Monograph
Becker, G., & Tomes, T.	1976	Child endowments and the quantity and quality of children	Journal Article
Beekhoven, S., & Dekkers, H.	2005	Early school leaving in the lower vocational track: Triangulation of qualitative and quantitative data	Journal Article
Belmont, L., & F. Marolla, F.	1973	Birth order, family size, and intelligence	Journal Article
Berbaum, M.,& Moreland, R.	1980	Intellectual development within the family: A new application of the confluence model	Journal Article
Berja, C., & N.B. Ogena, N.	2004	Profile of the Filipino youth	Monograph
Bills, D., Helms, L., & Ozcan, M.	1995	The impact of student employment on teacher's attitudes and behaviors towards working students	Journal Article
Blake, J.	1981	Family size and quality of children	Journal Article
X	1985	Number of siblings and educational mobility	Journal Article
X	1986	Number of siblings, family background, and the process of attainment	Journal Article
X	1989	Family size and achievement	Monograph
Blau P., & Duncan, O.	1967	The American occupational structure	Monograph
Bourdieu, P.	1977	Reproduction in education, society, culture	Monograph
Branham, D.	2004	The wise man builds his house upon the rock: The effects of inadequate school building infrastructure on student attendance	Journal Article
Broman, S., Nichols, P., & Kennedy, W.	1975	Preschool IQ: Prenatal and early development correlates	Monograph
Bronfenbrenner, U.	1979	The ecology of human development: Experiments by nature and design	Monograph
Cadriel, D.	2004	Factors associated with successful high school completion among high-poverty minority populations in South Texas public schools	Dissertation	
Case, A., Paxson, C., & Ableidinger, J.	2002	Orphans and schooling in Africa	Research
Cherlin, A., & Furstenberg, F. Jr.	1994	Stepfamilies in the United States: A reconsideration	Journal Article
Coleman, J.	1988	Social capital in the creation of human capital	Journal Article
Coleman, J.	1990	Foundations of social theory	Monograph
Conley, D.	1999	Being black, living in the red, wealth and social policy in America	Monograph
X	2001	Capital for college: Parental assets and postsecondary schooling	Journal Article
Cox D., & Rank, M.	1992	Inter-vivos transfers and intergenerational exchange	Journal Article
D'Amico, R., Haurin, R., & Mott, F.	1983	The effect of mother's employment on adolescent and early adult outcomes of young men and women	Monograph
Dandes, H., & Dow, D.	1969	The relationship of intelligence to family size and density	Journal Article
Daniels, D.	2004	Psycho-social predictors of academic success for urban African-American adolescents	Dissertation
Daniels, M., & Adair, L.	2004	Growth in young Filipino children predicts schooling trajectories	Manuscript	
De Graaf, P., & Huinink, J.	1992	Trends in measured and unmeasured effects of family background on educational attainment and occupational status in the Federal Republic of Germany	Research	
De Graff, D., Bilsborrow, R., & Herrin, A.	1993	Children's education in the Philippines: Does high fertility matter?	X
Dekkers, H., & Driessen, G.	1997	An evaluation of the educational priority policy in relation To early school leaving	Journal Article
Demie, F.	2002	Pupil mobility and educational achievement in schools: An empirical analysis	Research	
Department of Education	X	X	Online 
Di Maggio, P.	1982	Cultural capital and school success: The impact of status culture participation on the grades of U.S. high school students	Journal Article
Douglas, J.	1964	The home and the school: A study of ability and attainment in the primary school	Monograph
Downey, D.	1995	When bigger is not better: Family size, parental resources, and children's educational performance	Journal Article
X	2001	Number of siblings and intellectual development: The resource dilution explanation	Journal Article
Downey, D., & S. Neubauer, S.	1998	Is resource dilution inevitable? The association between number of siblings and educational outcomes across subgroups	X
Downey, D., B. Powell, Steelman, C., & Pribesh, S.	1999	Much ado about siblings: Change models, sibship size, and intellectual development	Journal Article
Dumont, A.	1890	Civilization et Depopulation	Monograph
Duncan, O., Featherman, D., & Duncan, B.	1972	Socioeconomic background and achievement	Monograph
Eckstein, Z., & K. Wolpin, K.	1999	Why youth drop out of high school: The impact of preferences, opportunities, and abilities	Journal Article
Ekstrom, R., Goertz, M., Pollack, J., & Rock, D.	1987	Who drops out of high school and why? Findings from a national study	Monograph
