Abalos, J.
Ahlburg, D.
Jensen E.
Perez, A.
An, C.
Haveman, R.
Wolfe, B.
Balk. D.
Raymundo, C.
Bane, M.
Ellwood, D.
Becker, G.
Bennett, N.
Bloom, D.
Miller, C.
Bongaarts, J.
Bumpass, L.
Lu, H.
Bulatao, R.
Card, J.
Wise, L.
Castillo, P.
Cabigon, I.
Hufana, L.
Casuga, J.
Cherlin, A. 
Furstenberg Jr., F.
Cherlin, A.
Crowder, K.
Teachman, J.
De Vaus, D.
Deal, L.
Holt, V.
Demographic Research and Development Foundation
University of the Philippines Population Institute
Demographic Research and Development Foundation, Inc.
Department of Health.
Driscoll, A.
Hearn, G.
Evans, I.
Moore, K. 
Sugland, B.
Call, V.
Driscoll, A.
Elder, G., Jr.
Ermisch, I.
Pevalin, D.
Fergusson, D.
Woodward, L.
Ford, K.
Sohn, W.
Lepkowski, J.
Foster, E.
Jones, D.
Hoffman, S.
Garfinkel, I.
Garfinkel, I.
McLanahan, S.
Robins, P.
Gonzales, M.
Graefe, D.
Lichter, D.
Granau, R.
Hamilton, B.
Martin, J.
Ventura, S.
Sutton, P.
Menacker, F.
Hannah Cartwright for Global Justice Initiative.
Hardy, J.
Astone, N.
Brooks-Gunn, J.
Shapiro, S.
Miller, T.
Harris, B.
Rushton, W.
Kreyenfeld, M.
Lappegard, T.
Berghammer, C.
Keizer, R.
Haveman, R.
Wolfe, B.
Pence, K.
Henshaw, S.
Hobcraft, I. 
Kiernan, K.
Hofferth, S.
Reid, L.
Mott, F.
Hoffman, S.
Foster, E.
Furstenberg, F. Jr.
Hoffman, S.
Foster, E. 
Hoffman, S.D. 
Icao, A.
International Union for the Scientific Study of Population
Jones, I.
Mosher, W.
Daniels, K.
Kabamalan, M.
Williams, L.
Kabamalan, M.
Casterline, J. 
Kabamalan, M.
Villaver, M.
Kahn, J.
Anderson, K.
Kalil, A.
Kunz, I.
Ku, L.
Sonenstein, F.
Pleck, I. 
Lee, D.
Lichter, D.
Graefe, D.
Lichter, D.
Graefe, D.
Brown, J.
Lotivio, Z.
Luci, A.
Thevenon, O.
Macairan, E.
Manlove, J.
Terry, E.
Gitelson, L.
Papillo, A.
Russell, S.
Manlove, J.
Mincieli, L. 
Manlove J.
Terry-Human, E.
Ikramullah, E.
McLanahan, S.
Sandefur, G. 
McLanahan, S.
Medina, B.
Medina, B.
Miller, B.
Heaton, T.
Moore, K.
Iekielek, S.
Emig, C. 
National Statistics Office
National Statistics Office
Neal, S.
Matthews, Z.
Frost, M.
Fogstad, H.
Camacho, A.
Laski, L. 
Noar, S.
Zimmerman, R.
Atwood, K. 
Nock, S. 
Parungao, C.
Bautista, L.
Mariano, R.
Bonifacio, V.
Aguinaldo, M.
Pedroso, L.
Sasota, R.
Perelli-Harris, B.
Single-Rushton, W.
Kreyenfeld, M.
Lappegard, T.
Bergharnmer, C.
Keizer, R.
Philippine Statistics Authority
ICE International
Pogoy, M.
Verzosa, R.
Coming, N.
Agustin, G.
Raymundo, C.
Cruz, G.
Ribar, D.
Wilhelm, M.
Ribar, D.
Robins, P.
Fronstin, P.
Roempke-Graefe, D.
Lichter, D.
Roosa, M.
Tein, J.
Reinholtz, C.
Angelini, P.
Rosenzweig, M. 
Rueda-Acosta, P.
Russell, J.
Sandfort, J.
Hill, M.
Shapiro, D.
Sheeran, P.
Abraham, C.
Orbell, S.
Smock, P.
South, S.
South, S.
Terry-Humen, E.
Marlove, I.
Moore, K.
Thornberry, T.
Smith, C.
Howard, G.
Tsai, W.
Liu, J.
Hockenberry, J.
United Nations Population Fund
United States Department of Health and Human Services
Upchurch, D.
Lillard, L.
Panis, C.
Uy, J.
Van de Kaa, D.
Varga, C.
Zosa-Feranil, I.
Ventura, S.
Martin, I.
Curtain, S.
Mathews, T.
World Health Organization
World Health Organization
Wu, L.
Wu, L.
Cherlin, A,
Bumpass, L.
Zablan, Z.
Zavodny, M.
