Author	Year	Title	Publication Type
Abalos, J.	2011	Determinants of men's extramarital sexual experience in the Philippines.	Journal Article
Ahlburg, D., Jensen E., & Perez, A.	1997	Determinants of extramarital sex in the Philippines.	Journal Article
An, C., Haveman, R., and Wolfe, B.	1993	Teen out-of-wedlock births and welfare receipt: The role of childhood events and economic circumstances.	Journal Article
Balk. D. & Raymundo, C.	1999	Childbearing.	Monograph
Bane, M., & Ellwood, D.	1986	Slipping into and out of poverty: The dynamics of spells.	Journal Article
Becker, G.	1965	The theory of allocation of time.	Journal Article
Bennett, N., Bloom, D., & Miller, C.	1995	The influence of nonmarital childbearing on the formation of first marriages.	Journal Article
Bongaarts, J.	1978	A framework for analyzing the proximate determinants of fertility.	Journal Article
Bumpass, L., & Lu, H.	2000	Trends in cohabitation and implications for children's family contexts in the United States.	Journal Article
Bulatao, R.	1979	On the nature of the transition in the value of children. Current studies on the value of children.	Monograph
Card, J., & Wise, L.	1978	Teenage mothers and teenage fathers: The impact of early childbearing on the parents' personal and professional lives.	Journal Article
Castillo, P. 	2014	Adult life situation of Filipino women who experienced teen childbearing.	Thesis
Cabigon, I., & Hufana, L.	1984	Determinants of age at first birth.	Monograph
Casuga, J.	1996	Cohabitation, marriage and divorce: Attitudes in the Philippines and 21 other countries.	Journal Article
Cherlin, A. & Furstenberg Jr., F.	1991	Divided families.	Monograph
Cherlin, A.	2000	Toward a new home economics of union formation.	Monograph
Crowder, K., & Teachman, J.	2004	Do residential conditions explain the relationship between living arrangements and adolescent behavior?	Journal Article 
De Vaus, D.	2002	Marriage, births and fertility.	X
Deal, L., & Holt, V.	1998	Young maternal age and depressive symptoms: Results from the 1988 national maternal and infant health survey.	Journal
Demographic Research and Development Foundation, & University of the Philippines Population Institute	2014	2013 YAFS4 key findings.	Survey
Demographic Research and Development Foundation, Inc. & Department of Health	2012	Sourcebook on Behavioral Change Communication [BCC] strategies for preventing adolescent pregnancy.	Monograph
Driscoll, A., Hearn, G., Evans, I., Moore, K. Sugland, B., & Call, V.	1999	Nonmarital childbearing among adult women.	Journal Article
Driscoll, A.	2014	Adult outcomes of teen mothers across birth cohorts.	Journal Article
Elder, G., Jr.	1998	The life course and human development.	Monograph
Ermisch, I., & Pevalin, D.	2005	Early motherhood and later partnerships.	Journal Article
Fergusson, D., & Woodward, L.	2000	Teenage pregnancy and female educational underachievement: A prospective study of a New Zealand birth cohort.	Journal Article
Ford, K., Sohn, W., & Lepkowski, J.	2001	Characteristics of adolescents' sexual partners and their association with use of condoms and other contraceptive methods.	Journal Article
Foster, E., Jones, D., & Hoffman, S.	1998	The economic impact of nonmarital childbearing: How are older, single mothers faring?	Journal Article
Garfinkel, I.	1993	Assuring child support.	Monograph
Garfinkel, I., McLanahan, S., & Robins, P.	1994	Child support and child well-being.	Monograph
Gonzales, M.	1978	The impact of changes in marriage patterns on fertility in the Philippines.	Monograph
Graefe, D., & Lichter, D.	2008	Marriage patterns among unwed mothers: Before and after PRWORA.	Journal Article
Granau, R.	1973	The effect of children on the housewife's value of time.	Journal Article
Hamilton, B., Martin, J., Ventura, S., Sutton, P., & Menacker, F.	2005	Births: Preliminary data for 2004.	Report
Hannah Cartwright for Global Justice Initiative	2011	Legal Age of Consent for Marriage and Sex for the 50 United States.	Monograph
Hardy, J., Astone, N., Brooks-Gunn, J., Shapiro, S., & Miller, T.	1998	Like mother, like child: Intergenerational patterns of age at first birth and associations with childhood and adolescent characteristics and adult outcomes in the second generation.	Journal Article
Harris, B., Rushton, W., Kreyenfeld, M., Lappegard, T., Berghammer, C., & Keizer, R.	2010	The educational gradient of nonmarital childbearing in Europe: Emergence of a pattern disadvantage?	Working Paper
Haveman, R., Wolfe, B., & Pence, K.	2001	Intergenerational effects of nonmarital and early childbearing.	Monograph
Henshaw, S.	1998	Unintended pregnancy in the United States.	Journal Article
Hirschman, C., & Rindfuss, R. 	1982	The sequence of timing of family formation events in Asia.	Journal Article
Hobcraft, I. and Kiernan, K.	1999	Childhood poverty, early motherhood and adult social exclusion.	Paper
Hofferth, S., Reid, L., & Mott, F.	2001	The effects of early childbearing on schooling over time.	Journal Article
Hoffman, S., Foster, E., & Furstenberg, F. Jr.	1993	Re-evaluating the costs of teenage childbearing.	Journal Article
Hoffman, S., & Foster, E. 	1999	AFDC benefits and nonmarital births to young women.	Journal Article
Hoffman, S.D.	2006	By the numbers: The public costs of teen childbearing.	Online
Icao, A.	2013	Should there be no distinction between legitimate and illegitimate children?	Online 
International Union for the Scientific Study of Population	n. d.	Populatlon analysis for policies & programmes.	Program
Jones, I., Mosher, W., & Daniels, K.	2012	Current contraceptive use in the United States, 2006-2010, and changes in patterns of use since 1995.	Report
Kabamalan, M., & Williams, L.	2010	Correlates of nonmarital fertility in the Philippines.	Poster
Kabamalan, M., & Casterline, J.	2010	The growing significance of nonrnmrital fertility in the Philippines.	Paper
Kabamalan, M. & Villaver, M.	2015	Trends and patterns in Filipino cross-border marriages: A view from the Philippines.	Paper
Kahn, J., & Anderson, K.	1992	Intergenerational patterns of teenage fertility.	Journal Article
Kalil, A., & Kunz, I.	2002	Teenage childbearing, marital status, and depressive symptoms in later life.	Journal Article
Ku, L., Sonenstein, F., & Pleck, I.	1994	The dynamics of young men's condom use during and across relationships.	Journal Article
Lee, D.	2010	The early socioeconomic effects of teenage childbearing: A propensity score matching approach.	Journal Article
Lichter, D., & Graefe, D.	2001	Finding a mate? The marital and cohabitation histories of unwed mothers.	Online
Lichter, D., Graefe, D., & Brown, J.	2003	Is marriage a panacea? Union formation among economically disadvantaged unwed mothers.	Journal Article
Lotivio, Z.	2010	Cohort dwerences in the sequencing of marriage and birth among women in the Philippines.	Thesis
Luci, A., & Thevenon, O.	2010	Does economic development drive the fertility rebound in OECD countries.	Online
Macairan, E.	2012	Government urged to implement Solo Parents Welfare Act. The Philippine Star.	Online
Manlove, J., Terry, E., Gitelson, L., Papillo, A., & Russell, S.	2000	Explaining demographic trends in teenage fertility, 1980-1995.	Journal Article
Manlove, J., & Mincieli, L.	2006	Family, individual and relationship factors associated with a first non marital birth: Analyses by gender and race/ethnicity.	X
Manlove J., Terry-Human, E., & Ikramullah, E.	2006	Young teenagers and older sexual partners: Correlates and consequences for males and females.	Journal Article
McLanahan, S., & Sandefur, G.	1994	Growing up with a single parent.	Monograph
McLanahan, S.	1995	The consequences of nonmarital childbearing for women, children, and society.	Monograph
Medina, B.	2001	The Filipino family. (2nd ed.).	Monograph
Medina, B.	2015	The Filipino family. (2nd ed.).	Monograph
Miller, B., & Heaton, T.	1991	Age at first sexual intercourse and the timing of marriage and childbirth.	Journal Article
Moore, K., Iekielek, S., & Emig, C.	2002	Marriage from a child's perspective: How does family structure affect children, and what can we do about it?	Monograph 
National Statistics Office	2002	OCRG Cir. No. 89-13 dated luly 17, 1989.	Online
National Statistics Office	2011	Marriages aeclined by two percent in 2010.	Online
National Statistics Office	2013	2010 Census of Population and Housing.	Monograph
Neal, S., Matthews, Z., Frost, M., Fogstad, H., Camacho, A., & Laski, L.	2012	Childbearing in adolescents aged 12-15 years in low resource countries: A neglected issue.	X
Noar, S., Zimmerman, R., & Atwood, K.	2004	Safer sex and sexually transmitted infections from a relationship perspective.	X
Nock, S. 	1998	The consequences of premarital fatherhood.	Journal Article
Parungao, C., Bautista, L., Mariano, R., Bonifacio, V., & Aguinaldo, M.	2014	Life brought at a tender age: The lived experiences of Filipino teenage pregnant women.	Journal Article 
Pedroso, L., & Sasota, R.	2010	Risking the future: Pregnancy and childbearing in the Philippines.	X
