Achalu, O.
Duncan, D.
Ackard, D. M.
Andrews, J. 
Bahr, S.
Marcos, A.
Maughan, S.
Barnes, G.
Baumrind, D. 
Baumrind, D.
Baumrind, D.
Biglan, A.
Blane, H.
Blume, S.
Cabigon, J. 
Chassin, L.
Fora D.
King, K. 
Cheal, D.
Choe, M.
Raymundo, C.
Choe, M.
Raymundo, C.
Clark, W.
Cohen, D.
Rice, J.
Cohen, D.
Cohen, D.
Coleman, J.
Connell C.
Gilreath T.
Hansen, N.
Domingo, L.
Marquez, M.
Cruz, G.
Laguna, E.
Raymundo, C.
Domingo, L.
Devore, E.
De Vries, H.
Engels, R.
Kremers, S.
Wetzels, J.
Mudde, A.
Domingo, L.
Marquez, M.
Dowdell E.
Posner, M.
Hutchinson, M.
DRDF
DuRant R.
Smith J.
Kreiter S.
Krowchuk, D.
Ellickson, P.
Tucker, J.
Klein, D.
Engels, R.
Knibbe, R.
De Vries, H.
Drop, M.
Van Breukelen, G.
Engels, R.
Escobedo, R.
Reddy, M.
DuRant, R. 
Faeh, D.
Viswanathan, B.
Chiolero, A.
Warren, W.
Bovet, P. 
Foxcroft, D.
Lowe, G.
Foxcroft, D.
Ireland, D.
Lister-Sharp, D.
Lowe, G.
Ginsburg, K.
Durbin, D.
Garcia-EspaNa, J.
Kalicka, E.
Winston, F.
Greaves, L.
Hawkins, J.
Hockhauser, M.
Hops, H. 
Hoque, M.
Jackson, C.
Sweeting, H.
Haw, S.
Jackson, C.
Kandel, D.
Kandel, D.
Kandel, D.
Kipping, R.
Campbell, R.
MacArthur, G.
Gunnell, D.
Hickman, M.
Knight, J.
Roberts, T.
Gabrielli, J.
Kosterman, R.
Hawkins, J.
Spoth, R.
Haggerty, K. 
Zhu, K.
Kumpfer, K.
Lapp, J.
Maccoby, E.
Martin, J. 
Mermelstein, R.
Merrill, J.
Fox, K., Lewis, S.
Pulver, G.
Mills, K.
Myers H.
Newcomb, M.
Richardson M.
Alvy K.
Parameswaran, E.
Parfrey, P.
Piko, B.
Balézs, M.
Simons, R.
Conger, R.
Whitbeck, L.
Ricciardelli, L.
Connor, J.
Williams, R.
Young, R.
Roche K.
Rogers, D.
Russo, G.
Domingo, L.
Kabamalan, M.
Sales, J.
Irwin, C. Jr.
Sen, B.
Steinberg, L.
Straus, R.
Bacon, S.
Tan, A.
Tan, A.
Torabi, M.
Bailey, W.
Majd-Jabbari, M.
Tyas, S.
Van der Vorst, H.
Velleman, R.
Templeton, L.
Copello, A.
Vogel, J.
Hurford, D.
Smith, J.
Cole, A.
Wada, K.
White, H.
Huselid, R.
Windham, G.
Aldridge, N.
World Health Organization
World Health Organization
