Author	Year	Title	Publication Type
Achalu, O., & Duncan, D.	1984	Drug taking by Nigerian students in American university: Prevalences for four commonly used drugs.	Journal Article
Ackard, D. M.	2006	Parent-child connectedness and behavioral and emotional health among adolescents.	Journal Article
Andersen, M., & Taylor, H.	2002	Sociology: Understanding a diverse society.	Book
Andrews, J.	1993	Parental influence on early adolescent substance use: specific and non-specific effects.	Journal Article
Bahr, S., Marcos, A., & Maughan, S.	1995	Family, educational, and peer influences on the alcohol use of female and male adolescents.	Journal Article
Barnes, G.	1992	Parental support and control as predictors of adolescent drinking, delinquency, and related problem behaviors.	Journal Article
Baumrind, D.	1966	Effects of authoritative parental control on child behavior.	Journal Article
Baumrind, D.	1985	Antecedents of adolescent drug use: A developmental perspective.	Monograph
Baumrind, D.	1991	The influence of parenting style on adolescent competence and substance use.	Journal Article
Biglan, A.	2004	Helping adolescents at risk: Prevention of multiple problem behaviors.	X
Blane, H.	1977	 Alcohol and youth: on analysis of the literature.	X 
Blume, S.	1991	Sexuality and stigma: The alcoholic woman.	Journal Article
Branstetter S., Blosnich J., Dino G., Nolan, J., & Horn, K.	2012	Gender differences in cigarette smoking social correlates and cessation among adolescents.	Journal Article
Cabigon, J.	2009	Smoking initiation among Filipino youth.	X
Chassin, L., Fora D., & King, K.	2004	Trajectories of alcohol and drug use dependece from adolescence to adulthood: The effects of familial alcoholism and personality.	Journal Article
Cheal, D.	2002	Sociology of Family Life.	Book 
Choe, M., & Raymundo, C.	2001	Initiation of smoking, drinking, and drug-use among Filipino youth. 	Working Paper
Choe, M., & Raymundo, C.	2001	Initiation of smoking, drinking, and drug-use among Filipino youth.	Journal Article
Clark, W.	1967	Sex roles and alcoholic beverage use.	X
Cohen, D., & Rice, J.	1997	Parenting styles, adolescent substance use, and academic achievement.	Journal Article
Cohen, D.	1994	Parenting behaviors and the onset of smoking and alcohol use: A longitudinal study.	Journal Article
Cohen, D., Richardson, J., & LaBree, L.	1994	Parenting behaviors and the onset of smoking and alcohol use: A longitudinal study.	Journal Article
Coleman, J.	2014	Understanding adolescence: Frontline briefing.	Online
Connell C., Gilreath T., & Hansen, N.	2009	A multiprocess latent class analysis of the co-occurrence of substance use and sexual risk behavior among adolescents.	Journal Article
Cruz, G., Laguna, E., & Raymundo, C.	2001	Family Influences on the Lifestyle of Filipino Youth.	Working Paper
De Vries, H., Engels, R., Kremers, S., Wetzels, J., & Mudde, A.	2003	Parents' and friends' smoking status as predictors of smoking onset: Findings from six European countries.	Journal Article
Devore, E.	2005	The protective effects of good parenting on adolescents.	Journal Article
Domingo, L.	1999	Smoking, drinking and drug use: How prevalent.	X 
Domingo, L., & Marquez, M.	1999	Smoking, drinking, and drug use.	Monograph 
Domingo, L., & Marquez, M.	2001	Smoking, drinking, and drug use.	Monograph 
Dowdell E., Posner, M., & Hutchinson, M.	2011	Cigarette smoking and alcohol use among adolescents and young adults with asthma.	Journal Article 
DRDF	2013	2013 Young adult fertility and sexuality study.	Online
DuRant R., Smith J., Kreiter S., & Krowchuk, D.	1999	The relationship between early age of onset of initial substance use and engaging in multiple health risk behaviours among young adolescents.	Journal Article
Ellickson, P., Tucker, J., & Klein, D.	2001	High-risk behaviors associated with early smoking: Results from a 5-year follow-up.	Journal Article
Engels, R., Knibbe, R., De Vries, H., Drop, M., & Van Breukelen, G.	1999	Influences of parents' and best friends' smoking and drinking on adolescent use: A longitudinal study.	Journal Article
Engels, R.	1999	Influences of parental and best friends' smoking and drinking on adolescent use: a longitudinal study.	Journal Article
Escobedo, R., Reddy, M., & DuRant, R.	1997	Relationship between cigarette smoking and health risk and problem behaviors among US adolescents.	Journal Article
Faeh, D., Viswanathan, B., Chiolero, A., Warren, W., & Bovet, P.	2006	Clustering of smoking, alcohol drinking and cannabis use in adolescents in a rapidly developing country.	Journal Article
Foxcroft, D., & Lowe, G.	1991	Adolescent drinking behavior and family socialization factors: A meta-analysis.	Journal Article
