Agonia, B.
Niduaza, K.
Aguilar, K.
Balk, D.
Raymundo, C.
Berja B.
Kabamalan, M.
Berja B.
Ogena, N.
Birsen, G.
Breheny, M.
Stephens, C.
Bulatao, R.
Casterline, J.
Buston, K.
Cabigon, J.
Campbell, A.
Cardoso, A.
Verier, D.
Casterline, J.
Chalem, E.
Chedraui, P.
Cherlin, A. J.
Chilman, C.
Commission on Population.
Cordova, J.
Cruz, G.
Laguna, E.
Raymundo, C.
Davis, K.
Blake, J.
De Guzman, E.
Diaz, G.
DeJong, et al
Diaz, G.
Donaldson, L.
Duremdes, S.
Ebeigbe, P.
Gharoro, E.
Fazio, R.
Fessler, K.
Furstenberg, F. Jr.
Glover, J.
Grant, M.
Hallman, K.
Gupta, N.
Hofferth, S.
House, W.
Ibrahim, N. 
Hudson, F.
Hurlock, E.
Islam, M.
Juarez, F.
Kabamalan, M
Kabamalan, M. 
Kim, M.
Kirby, D.
Lee, M.
Lucas, D.
Meyer, P.
Macionis, J. J.
Marquez, M.
Galban, N.
Minh, N.
National Campaign to Prevent Teenage Pregnancy.
Natividad, J.
Marquez, M. 
National Statistics Office, & ORC Macro.
Nogra, M.
Ogena, N. B.
Ono, H.
Panaligan, A. C.
Panopio, I. S.
Perral, D. A.
Sesbreno, S.
Raymundo, C. M.
Raymundo, C. M.
Cruz, G. T.
Robbins, C.
Kaplan, H.
Martin, S.
Rubin, Z.
Ryan
Silao, N. I.
Singh S.
The Alan Guttmacher Institute.
Terry-Humen, E.
Uecker, J. E.
Upadhyay, U.
Williams, L.
abamalan, M.
Ogena, N.
Wolfinger, N.
Xenos, P.
Raymundo, C.
Diaz, G.
