Author	Year	Title	Publication Type
Agonia, B., & Niduaza, K.	1999	Youth fertility in the Philippines.	Thesis
Aguilar, K.	2002	Beyond 9 months: A Study on the significance of early childbearing on a woman's educational attainment.	Thesis
Balk, D., & Raymundo, C.	X	Childbearing.	Monograph
Berja B., & Kabamalan, M.	2004	2003 Young Adult Fertility and Sexuality Survey (YAFS3) technical notes.	Monograph
Berja B., & Ogena, N.	2004	Profile of Filipino youth.	Monograph
Birsen, G., et al.	2006	Determinants of adolescent pregnancy in an urban area in Turkey: A population-based case control study.	Journal Article
Breheny, M., & Stephens, C.	2007	Irreconcilable differences: Health professionals' constructions of adolescence and motherhood.	Journal Article 
Bulatao, R., & Casterline, J.	2001	Global fertility transitions.	Monograph
Buston, K., et al.	2007	Young women under 16 years with experience of sexual intercourse: Who becomes pregnant?	Journal Article
Cabigon, J.	1990	Philippine mortality in changing times.	Dissertation
Campbell, A.	1968	The Health and Social Consequences of Teenage Childbearing.	Monograph
Cardoso, A., & Verier, D.	2007	School drop-out and push-out factors in Brazil: The role of early parenthood.	Working Paper
Casterline, J., et al.	1988	Trends in fertility in the Philippines: An intergrated analysis of four national surveys.	Report
Chalem, E., et al.	2007	Teenage pregnancy: Behavioral and socio-demographic profile of urban Brazilian population.	Journal Article
Chedraui, P., et al.	2007	Knowledge and practice of family planning and HIV prevention behaviour among just delivered adolescents in Ecuador: The problem of adolescent pregnancies.	Journal Article
Cherlin, A. J., et. al.	1995	Parental divorce in childhood and demographic outcomes in young adulthood.	Journal Article
Chilman, C., et. al.	1980	Adolescent pregnancy and childbearing: Findings from research.	Monograph
Commission on Population	2003	Pinoy youth: Making choices, building voices.	Report
Cordova, J.	1998	Should sex education be made a part of the school curriculum?	Journal Article
Cruz, G., Laguna, E., & Raymundo, C.	2001	Family influences on the lifestyle of Filipino youth.	Journal Article
Davis, K., & Blake, J.	1956	Social structure and fertility: An analytic framework.	Journal Article
De Guzman, E., & Diaz, G.	1999	Dating behavior. Adolescent sexuality in the Philippines.	Monograph
DeJong, et al.	2007	People's sexual and reproductive health in the Middle East and North Africa.	Online
Diaz, G.	1999	The likelihood of adolescent first pregnancy in the Philippines: 1982 and 1994.	Thesis
Donaldson, L.	1991	Fertility transition: The social dynamics of population change.	Monograph
Duremdes, S.	1993	The Filipino family holding on... A celebration guide for family week. National Council of Churches in the Philippines.	Monograph
Ebeigbe, P., & Gharoro, E.	2007	Obstetric complications, intervention rates and maternofetal outcome in teenage nullipara in Benin City, Nigeria.	Journal Article
Fazio, R.	1994	Attitude-Behavior Process Model.	Online
Fessler, K.	2003	Social outcomes of early childbearing: Important considerations for the provision of clinical care.	Journal Article
Furstenberg, F. Jr., et al.	1981	Teenage sexuality, pregnancy, and childbearing.	Monograph
Glover, J.	1989	Fertility and the family.	Monograph
Grant, M., & Hallman, K.	2006	Pregnancy-related school drop-out and prior school performance in South Africa.	Working Paper
Gupta, N.	2001	Sexual initiation and contraceptive use among adolescent women in Northeast Brazil.	Journal Article
Hofferth, S.	1987	Factors affecting initiation of sexual intercourse.	Monograph
House, W., & Ibrahim, N.	1999	Fertility patterns of adolescents and older women in the Pacific island countries: Programme implications.	Journal Article
Hudson, F. 	1991	Taking it lying down: Sexuality and teenage motherhood.	Monograph
Hurlock, E.	1982	Developmental psychology: A life span approach.	Monograph
Islam, M.	1998	Contraceptive use among married adolescents in rural Bangladesh.	Journal Article
Juarez, F., et. al.	2005	The incidence of induced abortion in the Philippines: Current and recent trends.	X
Kabamalan, M.	2003	Changes in attitudes toward premarital sex and childbearing among young Filipino women: Implications for marriage.	Paper
Kabamalan, M.	2004	New path to marriage: The significance of increasing cohabitation in the Philippines.	Journal Article
Kim, M.	1974	Age at marriage, family planning practices, and other variables as correlates of fertility in Korea.	Journal Article
Kirby, D., et al.	2007	Sex and HIV education programs: Their impact on sexual behaviors of young people throughout the world.	Journal Article
Lee, M.	2003	Understanding the risk factors for adverse birth outcomes in adolescent pregnancies.	Journal Article
Lucas, D., & Meyer, P.	1999	Beginning population studies. (2nd ed.).	Monograph
Macionis, J. J.	2003	Sociology. (9th ed.).	Monograph\
Marquez, M., & Galban, N.	2004	Getting hotter, going wilder? Changes in sexual risk-taking behavior among Filipino youth.	Working Paper
Minh, N.	1997	Age at first marriage it Viet Nam: Patterns and feterminants.	Journal Article
National Campaign to Prevent Teenage Pregnancy	2004	Teen pregnancy prevention: Dad makes a difference.	Fact Sheet
Natividad, J., & Marquez, M.	2004	Sexual risk behaviors.	Monograph
National Statistics Office, & ORC Macro	2004	Philippines national demographic and health survey.	Monograph
Nogra, M.	1998	Ethnicity and fertility: The Philippine case.	Thesis
Ogena, N. B., et al.	2007	Marriage trends and patterns in the Philippines.	Poster
Ono, H.	2003	Women's economic standing, marriage timing, and Ccross-national contexts of gender.	Journal Article
Panaligan, A. C.	2003	The Philippine CDS experience: Comprehensive approach to urban governance and management.	Online
Panopio, I. S., et.al.	1995	Sociology: Focus on the Philippines. (3rd ed).	Monograph
Perral, D. A., & Sesbreno, S.	2002	Fertility differentials in the Philippines regions and their determinants.	Thesis
Raymundo, C. M.	1984	Young adult fertility in the Philippines: first report.	Report
Raymundo, C. M., & Cruz, G. T.	2004	Youth sex and risk behaviors in the Philippines.	Monograph
Robbins, C., Kaplan, H., & Martin, S.	1985	Antecedents of pregnancy among unmarried adolescents.	Journal Article
Rubin, Z.	1993	Liking and loving: An invitation to social psychology.	Monograph
Ryan, et al.	2004	Contraceptive and consistency in U.S. Teenagers' most recent sexual relationships.	Journal Article
Silao, N. I.	1978	The risk of teenage pregnancy.	X
Singh S., et al.	2006	Unintended pregnancy and induced abortion in the Philippines: Causes and consequences.	Monograph
The Alan Guttmacher Institute	1994	Sex and America's teenagers.	Monograph
Terry-Humen, E., et al.	2005	Playing catch-up: How children born to teen mothers fare.	Online
Uecker, J. E., et al.	2007	Losing my religion: The social sources of religious decline in early adulthood.	Journal Article
Upadhyay, U., et al.	2006	Before first sex: Gender differences in emotional relationships and physical behaviors among adolescents in the Philippines.	Journal Article
Williams, L., abamalan, M., & Ogena, N.	2007	Attitude toward marriage in the Philippines.	Journal Article
Wolfinger, N.	2003	Parental divorce and offspring marriage: Early or late?	Journal Article
Xenos, P., Raymundo, C., & Diaz, G.	1999	Surveying Filipino youth: The methodology of the young adult fertility and sexuality survey of the Philippines, 1994 (YAFS-ll).	Survey
