authors,cited by
"Abada, T.","Acielo, J."
"Trovato, F.","Acielo, J."
"Lalu, N.","Acielo, J."
"Adair, L.","Acielo, J."
"Popkin, B.","Acielo, J."
"Guilkey, D.","Acielo, J."
"Agunbiade, O.","Acielo, J."
"Ogunleye, O.","Acielo, J."
"Alemayehu, T.","Acielo, J."
"Haldar, H.","Acielo, J."
"Habte, D.","Acielo, J."
"Amsili, S.","Acielo, J."
"Bachrach, C.","Acielo, J."
"Newcomber, S.","Acielo, J."
"Barber, C.","Acielo, J."
"Beck, L.","Acielo, J."
"Biks, G.","Acielo, J."
"Tariku, A.","Acielo, J."
"Tessema, G.","Acielo, J."
"Blake, S.","Acielo, J."
"Chinebuah, B.","Acielo, J."
"Perez-Escamilla, R.","Acielo, J."
"Cost, K.","Acielo, J."
"Landry, D.","Acielo, J."
"Darroch, J.","Acielo, J."
"Crissey, S.","Acielo, J."
"Cunningham, J.","Acielo, J."
"Jackson, K.","Acielo, J."
"Oickle, D.","Acielo, J."
"D'Angelo, D.","Acielo, J."
"Dearden, K.","Acielo, J."
Department of Health,"Acielo, J."
"Dye, T.","Acielo, J."
"Esterik, P.","Acielo, J."
"Greiner, T.","Acielo, J."
"Finger, W.","Acielo, J."
"Gipson, J.","Acielo, J."
"Koenig, M.","Acielo, J."
"Hindin, M.","Acielo, J."
"Guilkey, D.","Acielo, J."
"Stewart, J.","Acielo, J."
"Haku, M.","Acielo, J."
"Haughton, J.","Acielo, J."
"Gregorio, D.","Acielo, J."
"Perez-Escamilla, R.","Acielo, J."
"Hollander, D.","Acielo, J."
"Hromi, A.","Acielo, J."
"Hromi-Fielder, A.","Acielo, J."
"Perez-Escamilla, R.","Acielo, J."
"Huffman, S.","Acielo, J."
"Kyi Kyi, A.","Acielo, J."
Kuguoglu S.,"Acielo, J."
"Marquez, M.","Acielo, J."
"Marston, C.","Acielo, J."
"Cieland, J.","Acielo, J."
"Mosley, H.","Acielo, J."
"Chen, L.","Acielo, J."
"Perez-Escamilla, R.","Acielo, J."
"Cobas, J.","Acielo, J."
"Balcazar, H.","Acielo, J."
"Benin, M.","Acielo, J."
Philippine Statistics Authority,"Acielo, J."
Philippine Statistics Authority,"Acielo, J."
ICE International,"Acielo, J."
"Relucio-Clavano, N.","Acielo, J."
"Reyes, F.","Acielo, J."
"Sable, M.","Acielo, J."
"Schempf, A.","Acielo, J."
"Shahla, M.","Acielo, J."
"Fahy, K.","Acielo, J."
"Kable, A.","Acielo, J."
"Shapiro-Mendoza, C.","Acielo, J."
"Shapiro-Mendoza, C.","Acielo, J."
"Scott, B.","Acielo, J."
"Stewart, J.","Acielo, J."
"Tanaka, R.","Acielo, J."
"Taylor, J.","Acielo, J."
"Cabral, H.","Acielo, J."
U.S. Agency for International Development,"Acielo, J."
"Ulep, V.","Acielo, J."
"Borja, M.","Acielo, J."
United Nations Standing Committee on Nutrition,"Acielo, J."
United Nations Children's Emergency Fund,"Acielo, J."
World Health Organization,"Acielo, J."
World Health Organization,"Acielo, J."
World Health Organization,"Acielo, J."
World Health Organization,"Acielo, J."
"Yngve, A.","Acielo, J."
"Sjostrom, M.","Acielo, J."
"Abbott, R.","Agustin, S."
"Hill, K.","Agustin, S."
"Catalano, R.","Agustin, S."
"Hawkins, D.","Agustin, S."
"Ahituv, A.","Agustin, S."
"Tienda, M. ","Agustin, S."
"Ainsworth, M.","Agustin, S."
"Beagle, K.","Agustin, S."
"Koda, G. ","Agustin, S."
Alexander K.,"Agustin, S."
"Entwisle, D.","Agustin, S."
"Dauber, S. ","Agustin, S."
"Alexander, K.","Agustin, S."
"Entwisle, D.","Agustin, S."
"Horsey, C. ","Agustin, S."
"Alexander, K.","Agustin, S."
"Entwisle, D.","Agustin, S."
"Kabbani, N. ","Agustin, S."
"Alexander, K.","Agustin, S."
"Natriello, G.","Agustin, S."
"Pallas, A.","Agustin, S."
"Alwin, D. ","Agustin, S."
"Alwin, D.","Agustin, S."
"Thorton, A. ","Agustin, S."
"Anastasi, A.","Agustin, S."
"Astone, N.","Agustin, S."
"McLanahan, S. ","Agustin, S."
"Bandura, A.","Agustin, S."
"Bandura, A.","Agustin, S."
"Bandura, A.","Agustin, S."
"Bandura, A.","Agustin, S."
"Bandura, A.","Agustin, S."
"Bauer, J.","Agustin, S."
"Racelis, R. ","Agustin, S."
"Baydar, N.","Agustin, S."
"Greek, A.","Agustin, S."
"Brooks-Gunn, J.","Agustin, S."
"Bayer, A. ","Agustin, S."
"Becker, G.","Agustin, S."
"Becker, G.","Agustin, S."
"Tomes, T. ","Agustin, S."
"Beekhoven, S.","Agustin, S."
"Dekkers, H.","Agustin, S."
"Belmont, L.","Agustin, S."
"Marolla, F.","Agustin, S."
"Berbaum, M.","Agustin, S."
"Moreland, R. ","Agustin, S."
"Berja, C.","Agustin, S."
"Ogena, N.","Agustin, S."
"Bills, D.","Agustin, S."
"Helms, L.","Agustin, S."
"Ozcan, M. ","Agustin, S."
"Blake, J.","Agustin, S."
Blau P.,"Agustin, S."
"Duncan, O.","Agustin, S."
"Bourdieu, P.","Agustin, S."
"Branham, D.","Agustin, S."
"Broman, S.","Agustin, S."
"Nichols, P.","Agustin, S."
"Kennedy, W.","Agustin, S."
"Bronfenbrenner, U. ","Agustin, S."
"Cadriel, D.","Agustin, S."
"Case, A.","Agustin, S."
"Paxson, C.","Agustin, S."
"Ableidinger, J.","Agustin, S."
"Cherlin, A.","Agustin, S."
"Furstenberg, F. Jr.","Agustin, S."
"Coleman, J. ","Agustin, S."
"Coleman, J. ","Agustin, S."
"Conley, D. ","Agustin, S."
Cox D.,"Agustin, S."
"Rank, M.","Agustin, S."
"D'Amico, R.","Agustin, S."
"Haurin, R.","Agustin, S."
