author,cited by
"Saito, Y.","Cruz, G."
"Koenig, H.","Lavares, A."
"Steelman, L.","Agustin, S."
"Krause, N.","Lavares, A."
"Crimmins, E.","Cruz, G."
Commission on Filipinos Overseas,"Gocatek, C."
World Health Organization,"Yubia, M."
"Powell, B.","Agustin, S."
World Health Organization,"Landicho, N."
"Diener, E.","Mallari, R."
"Domingo, L.","Parcon, C."
"Westoff, C. F.","Wangmo, Y."
"Hauser, R.","Agustin, S."
"Raymundo, C.","Cruz, C."
"Natividad, J.","Cruz, G."
National Statistics Office,"Grande, M."
"Maine, D.","Landicho, N."
"Hayward, M. D.","Cruz, G."
National Statistics Office,"Del Mundo, M."
"Musick, M.","Lavares, A."
"Rindfuss, R.","Lotivio, Z."
"Bandura, A.","Agustin, S."
"Weston, C.","Borja, L."
"Bongaarts, J.","Cruz, C."
"Casterline, J.","Cruz, C."
"Jagger, C.","Cruz, G."
"Zimmer, Z.","Cruz, G."
United Nations,"Dorjee, T."
"Asis, M. M. B.","Gocatek, C."
Bangko Sentral ng Pilipinas,"Gocatek, C."
National Statistics Office,"Gocatek, C."
"Ellison, C.","Lavares, A."
"Idler, E.","Lavares, A."
"Cabigon, J.","Lotivio, Z."
National Statistics Office,"Yubia, M."
"Perez-Escamilla, R.","Acielo, J."
World Health Organization,"Acielo, J."
"McLanahan, S.","Agustin, S."
"Rosenbaum, J.","Agustin, S."
"Cabigon, J.","Alcantara, A."
"Lichter, D.","Ogena, A."
"Domingo, L.","Arabit, C."
World Health Organization,"Bhattarai, B."
"Casterline, J.","Borja, L."
National Statistics Office,"Cruz, G."
"Rogers, A.","Cruz, G."
"Verbrugge, L. M.","Cruz, G."
"Potter, R.","Del Mundo, M."
"Hobcraft, J.","Dorjee, T."
"Raymundo, C. M.","Fonacier, M."
"Raymundo, C.","Galay, C. Jr."
National Statistics Office,"Landicho, N."
"Abad, R.","Lavares, A."
"De Guzman, E.","Lotivio, Z."
"Oppenheimer, V.","Lotivio, Z."
"Bongaarts, J.","Namgay, P."
"Ofstedal, M.","Parcon, C."
"Vallin, J.","Rodriguez, M."
World Health Organization,"Rodriguez, M."
"Rutstein, S.","Tabaco, R."
United Nations Children's Fund,"Yubia, M."
"Tienda, M.","Agustin, S."
"Entwisle, D.","Agustin, S."
"Alexander, K.","Agustin, S."
"Downey, D.","Agustin, S."
"Sewell, W.","Agustin, S."
"Rodgers, J.","Agustin, S."
"Zajonc, R.","Agustin, S."
"Moore, K.","Ogena, A."
"Foster, E.","Ogena, A."
"Hoffman, S.","Ogena, A."
"McLanahan, S.","Ogena, A."
"Graefe, D.","Ogena, A."
"Kabamalan, M.","Ogena, A."
"Baumrind, D.","Arabit, C."
"Raymundo, C.","Arabit, C."
"Cohen, D.","Arabit, C."
"Engels, R.","Arabit, C."
"Kandel, D.","Arabit, C."
"Raymundo, C.","Arellano, M."
"Diaz, G.","Arellano, M."
"Nagi, S.Z.","Bhattarai, B."
"Biddlecom, A.","Borja, L."
National Statistics Office,"Castillo, P."
World Health Organization,"Castillo, P."
"Engracia, L.","Cruz, C."
"Kabamalan, M.","Cruz, C."
National Statistics Office,"Cruz, C."
"Guest, P.","Choda, J."
National Statistics Bureau,"Choda, J."
"Crimmins, E. M.","Cruz, G."
"Martin, L. G.","Cruz, G."
"Liu, X.","Cruz, G."
"Manton, K. G.","Cruz, G."
"Nagi, S. Z.","Cruz, G."
"Cruz, G.","Cruz, G."
"Robine, J. M.","Cruz, G."
"Rogers, R. G.","Cruz, G."
"Belanger, A.","Cruz, G."
"Conaco, C.","Del Mundo, M."
"Bongaarts, J.","Del Mundo, M."
"Cruz, G.","Del Mundo, M."
"Moultrie, T.","Del Mundo, M."
United Nations,"Del Mundo, M."
"Cleland, J.","Dorjee, T."
"Cabigon, J.","Dorjee, T."
"Gubhaju, B.","Dorjee, T."
"McDonald, J.","Dorjee, T."
"Rutstein, S.","Dorjee, T."
"Royal Government of Bhutan, Ministry of Labour and Human Resources","Dorji, T."
"Cruz, G. T.","Fonacier, M."
"Reiss, I. L.","Fonacier, M."
"Marquez, M.","Galay, C. Jr."
"De Jong, G. F.","Gocatek, C."
"Ganzeboom, H. B. G.","Gocatek, C."
International Labour Organization,"Gocatek, C."
Scalabrini Migration Center,"Gocatek, C."
National Statistical Coordination Board,"Gocatek, C."
Philippine Overseas Employment Administration,"Gocatek, C."
"Cabigon, J. V","Grande, M."
"Coale, A. J.","Grande, M."
United Nations,"Grande, M."
"Cabigon, J. V.","Landicho, N."
World Bank,"Landicho, N."
"Cruz, G.","Lavares, A."
"Levin, J.","Lavares, A."
"Chatters, L.","Lavares, A."
"Raymundo, C.","Lotivio, Z."
"Concepcion, M.","Lotivio, Z."
"Kabamalan, M.","Lotivio, Z."
National Statistics Office,"Lotivio, Z."
"Ogena, N.","Lotivio, Z."
"Feeney, G.","Namgay, P."
United Nations.,"Namgay, P."
National Statistics Office,"Parcon, C."
United Nations,"Parcon, C."
"Go, E.","Prudencio, M."
