Author	Year	Title	Publication Type
Abu-Habib, I.	1997	Gender and disability: Women's experiences in the Middle East.	Monograph
Aris, M., & Hutt, M.	1994	Bhutan: Aspects of culture and development.	X
Arthur, E. D., & Power, O. P. W.	2007	The psychological and social impact of illness and disability.	X
Arthur, S., & Zarb, G.	1995	Measuring disablement in society.	Working Paper
Asian Development Bank	2000	Technical assistance in identifying disability issues related to poverty.	X
Baquer, A., & Sharma, A.	1997	Disability: Challenges vs. responses.	Monograph
Barnes, C., Oliver, M., & Barton, L.	2002	Disability, the academy and the inclusive society.	X
Barnes, C.	1991	Disabled people in Britain and discrimination: The case for anti discrimination legislation.	Monograph
Bartlett, S.	2003	Water, sanitation and urban children: The need to go beyond "improved" provision.	Journal Article
Batavia, A. I.	1993	Relating disability policy to broader public policy: Understanding the concept of handicap.	Journal Article
Bhanushali, K.	2006	Dimension of Disability in India.	Journal Article
Bond, G.R, Dietzen, L., McGrew, J., & Miller, L.	1995	 Accelerating entry into supported employment for persons with severe psycharistic disabilities.	X
Bookman, A., Harrington, M., Pass, L., & Reisner, E.	2007	Family caregiver handbook: Finding elder care resources in Massachusetts.	Monograph
Bowe, F.	2003	Disabled women in America: A statistical report drawn from census data.	Report
Brandt, E.N., & Pope, A.M.	1997	Enabling America: Assessing the role of rehabilitation science and engineering.	Monograph
Brault, M. W.	2008	Americans with Disabilities: 2005.	Monograph
Bhutan Youth Development Fund	2007	X	Online
Brown, S.	1995	A celebration of diversity: An Introductory, annotated bibliography about disability culture.	X
Butterworth, J., Gilmore, D.S., Kiernan, W. E.,& Schalock, R.	1999	State trends in employment services for people with developmental disabilities: Multiyear comparisons based on state MR/DD agency and vocational rehabilitation data.	X
China Disabled Persons Federation	1995	X	Paper
Cline, A. 	1995	Hindu rituals in India.	Online
Dalen, M.	2003	The relationship between disability, gender and education in Norwegian context.	X
Ministry of Education	2000	Education Sector Strategy (ESS), realizing Vision 2020, policy and strategy.	Monograph
Drak-Tsho Vocational Training Centre for Disabled	2009	Drak-Tsho Vocational Training Centre for Disabled.	Online
Dunlop, D.D., Hughes, D.S.W., & Mannheim, L. M.	1997	Disability in activities of daily living: Patterns of change and a hierarchy of disability.	Journal Article
Elwan, A.	1999	Poverty and disability. A survey of the literature.	X
Emiliani, P.L., & Stephanidis, C.	2005	Universal access to ambient intelligence environments: Opportunities and challenges for people with disabilities.	X
ESCAP	1995	Hidden sisters: Women and girls with disabilities in the Asian and Pacific Region.	X 
Fallon, A.	2007	Enable disability.	Online
Fried, L. P., & Guralnike, J. M.	1997	Disability in older adults: Evidence regarding significance, etiology and risk.	X
Fries, J.M., Singh, G., Morfeld, D., Hubert, H.B., Lone, N.E., & Brown, B. W.	1994	Running and development of disability with age.	Journal Article
Gallagher, H.	1990	By trust betrayed: Patients, physicians, and the license to kill in the Third Reich.	Monograph
Groce, N. E. 	1985	Everyone here spoke sign language: Hereditary deafness Martha's Vineyard.	Monograph
Gross National Happiness Commission	2009	Tenth five-year plan main document.	Monograph
Guralnik, J,M., & Kaplan, G. A.	1989	Predictors of healthy aging: Prospective evidence from the Alameda Country Study.	Journal Article
Guralnik, J.M., LaCroix, A. Z., Abbott, R. D., Berkman, L. F. Satterfield, S., Evans, D. A., & Wallace, R. B.	1993	Maintaining mobility in late life: Demographic characteristic and chronic conditions.	Journal Article
Harris-White, B.	1999	Onto a loser: Disability in India.	Monograph
Helander, E., Mendis, P., Nelson, G., Goerdt, A.	1989	Training in the community for people with disabilities.	Monograph
International Labor Organization	1984	Employment of Disabled Persons: Manual on Selective Placement.	Monograph
Kaye, H. S.	2003	Improved employement opportunities for people with disabilities.	Report
Kroll, K., & Klein, E. L.	2001	Enabling romance: A guide to love, sex, and relationships for people with disabilities.	Monograph
Kuensel	2009	X	Online
Lapinsky, S.	2004	X	Online
Lawton, M.P., & Brody, E. M.	1969	Assessment of older people: Self-maintaining and instrumental activities of daily living.	Journal Article
Leicester, L., & Lovell, T.	1994	Race, gender and disability: A comparative perspective.	Journal Article 
Lewis, C., & Sygall, S.	1997	Loud, proud and passionate: Including women disabilities in international development programs.	Monograph
Loaiza, E., & Cappa, C.	2005	Measuring children's disability via household surveys: The MICS experience.	Paper
Loprest, P., & Maag, E.	2003	The relationship between early disability onset and education and employment.	Monograph
Madans, J.	2006	The definition and measurement of disability: The work of the Washington group.	X 
McDonnell, J. J.	2003	An introduction to person with moderate and severe disabilities, education and social issues.	Monograph
Ministry of Health	2001	Annual Health Bulletins.	Bulletin
Ministry of Health	2004	Annual Health Bulletins.	Bulletin
Mont, D.	2007	Measuring disability prevalence.	Discussion Paper
The Multicultural Disability Advocacy Association	1996	Cultural competence works! A manual to put it into practice.	Monograph
Nagi, S. Z.	1965	Some conceptual issues in disability and rehabilitation.	Monograph
Nagi, S. Z.	1976	An epidemiology of disability among adults in the United States.	Journal Article
Nagi, S. Z.	1991	Disability concepts revisited: Implications for prevention.	Monograph
National Statistics Bureau. Royal Government of Bhutan	2007	Poverty Analysis Report.	Report
National Statistics Office, Philippines	2000	National Census of Population and Housing.	Census
Oliver, M.	1996	Understanding disability: From theory to practice.	Monograph
Paudel, S.	1995	A paper contributed to the Training Workshop for Women with Disabilities, 22-23 June, 1995. Bangkok.
Population and Housing Census of Bhutan, & Royal Government of Bhutan	2005	Facts and Figures.	Monograph
Population and Housing Census of Bhutan, & Royal Government of Bhutan	2005	Enumerators Manual.	Monograph
RADAR Evidence, Employment Committee	1995	Disability discrimination in employment.	X
Schalock, R. L.	1986	Quality of life: Perspectives and issues.	Monograph
Scheer, J., & Groce, N.	1988	Impairment as a human constant: Cross-cultural and historical perspectives on variation.	Journal Article
Stance, S.	1987	Vocational training for women with disabilities.	Journal Article
Swain, J., French, S., & Cameron, C.	2003	Controversial issues in a disabling society.	Monograph
Taylor, S. J.	1988	Caught in the continuum: A critical analysis of the principle of the least restrictive environment.	Journal Article
United Nations	1990	Disability Statistics Compendium.	Monograph
United Nations	1998	Principles and recommendations for Population and Housing Censuses.	Monograph
United Nations Enable (2008). Factsheet on person with disabilities.	Monograph
Verbrugge, L.M., & Jette, A.M.	1994	The disablement process.	Journal Article
Waidmann, T., & Freedman, V. A.	2005	Opportunities to improve survey measures of late life disability.	Paper
World Health Organization	1980	International Classification of Impairments, Disabilities and Handicaps (ICIDH).	Monograph
World Health Organization	1999	Social change and mental health cluster.	Report
World Health Organization	2001	International classification of functioning, disability and health.	Monograph
World Health Organization	2005	Epilepsy: The public health aspects.	Monograph
Wiman, R.	2003	Disability dimension in development action: Manual on inclusive planning.	Monograph
World Bank	2003	The World Bank and Disability in South Asia.	Monograph
