Author	Year	Title	Publication Type
Acsadi, G., & Johnson-Acsadi, G.	1986	Optimum conditions for childbearing.	X
Agresti, A.	2007	An introduction to categorical data analysis. (2nd ed.).	Book
Arellano, M. K.	2008	The changing patterns and determinants of adolescent pregnancy in the Philippines.	Thesis
Bureau of Secondary Education	n.d.	Open high school program (OHSP).	Online
Castillo, G. T.	1974	Some characteristics of the Philippine educational system and the case of non-formal education.	Journal Article.
Center for Disease Control of the US	2010	Teen pregnancy: Improving the lives of young people and strengthening communities by reducing teen pregnancy.	Report
Condo-Agudelo, A., Beliza, J. M., & Lammers, C.	2005	Maternal-perinatal morbidity and mortality associated with adolescents pregnancy in Latin America: Cross-sectional study.	Journal Article
Cruz, C.,  et al.	2014	Teenage Pregnancy and Fertility in the Philippines.	Conference paper
Cruz, G. T.	2014	The Filipino family and the youth in transition: policy and program directions.	Conference paper
Department of Health	2012	Behavior change communication. Strategies for preventing adolescent pregnancy.	Sourcebook
The DHS Program.	n.d.	What is the wealth index.	Online
Department of Education	1976	The Philippine educational system 1901-1976.	Monograph
Dickson, R. & Fullerton, D.	1997	Preventing and Reducing the Adverse effect of Unintended Pregnancy.	Journal Article
Demographic Research and Development Foundation, & University of the Philippines Population Instiute	2014	YAFS4 Key Findings.	Monograph
Driscoll, A.	2014	Adult outcomes of teen mothers across birth cohorts.	Journal Article
Elder, Glen H. Jr.	1994	Time, Human Agency, and Social Change: Perspectives on the Life Course.	Journal Article
Elder, Glen H. Jr.	1998	Life Course as Developmental Theory.	Journal Articlettp
Ellis, B.J., Bates, J.E., Dodge, K.A., Fergusson, D.M., Horwood, L.J., Pettit, G.S., Woodward, L.	2003	Does Father Absence Place Daughters at Special Risk for Early Sexual Activity and Teenage Pregnancy?	Journal Article
Encyclopedia Britannica	2014	Adolescence.	Online 
X	1987	The Family Code of the Philippines	Law
Fergusson, D. M., Horwood, L. J.	2000	Teenage Pregnancy and Female Educational Underachievement: A Prospective Study of a New Zealand Birth Cohort.	Journal Article
FOCUS on Young Adults	2000	A guide to monitoring and evaluating adolescent reproductive health programs.	X
