Achenbum, W. A.
Bengtson, V.
Aljunid, S. M.
Antonucci, T.
Baltes M. M
Carstensen, L. L
Baltes M. M.
Smith, J.
Barendregt, J.
Barendregt, J. J.
Bonneux, L.
Van der Maas, P.
Bengtson V. L. 
Shale, K. W.
Birren , J.
Schroots, J. 
Bone M. R.
Bebbington, A. C.
Jagger, C.
Morgan, K.
Nicolas, G.
Boshuizen H.
Parenboom, R.
Brouard, N.
Lievre, A.
Cabigon, J. V. 
Cabigon, J. V.
Flieger, W.
Camacho, T. C.
Strawbridge, W. J.
Cohen, R. D.
Kaplan, G. A.
Camagay, D.
Casterline, J. B.
Williams, L. 
McDonald, P.
Crimmins, E.
Crimmins, E. M.
Cambois, E. 
Crimmins, E. M.
Crimmins, E.
Saito, Y.
Crimmins, E.
Saito, Y.
Crimmins, E.
Saito, Y.
Crimmins, E.
Saito, Y.
Reynolds, S.
Crimmins, E.
Hayward, M. D.
Saito, Y.
Crimmins, E. M
Hayward, M. D.
Saito, Y.
Crimmins, E.
Saito, Y.
Crimmins, E. M.
Saito, Y.
Hayward, M. D.
Crimmins, E.
Saito, Y.
Ingegneri, D.
Cruz, G. T.
Berja, C.
Deeg, D. J.
Deeg, D.
Verbrugge. L.
Jagger, C.
De Guzman, E.
Magracia, M. L.
Zabian, Z. C.
Department of Social Welfare
Development and Development Academy of the Philippines
Doblhammer, G.
Kytir, J.
Domingo, L. J.
Marquez, M.
East-West Center
Eberhardt, M. S.
Ingram, D. D.
Makuk, D. M.
Eitzen, S. D.
Elder, G. Jr.
Freedman, V. A.
Martin, L. G.
Fries, J.
Fries, J. F.
Glass, T. A.
Gruenberg, E. M.
Ham-Chande, R.
Haveman, R. H.
Wolfe, B.
Hayward, M. D.
Heron, M.
Hayward, M. D.
Peinta, A. M.
McLaughlin, D. K.
Hermalin, A. I.
Herrin, A.
Hogan, D.
Eggebeen, D.
Clegg, C.
House, J. S.
Kessler, R. C.
Herzog ,A. R.
House, J. S.
Lepkowski, J. M.
Kinney, A. M.
Idler, E. L.
Benyami, Y. 
Ikkink, K. K.
van Tilburg, T.
Knipscheer, K.
Jagger, C.
Jagger, C.
Katz, S. A.
Ford, A.
Moskowitz, R.
Jackson, B.
Jaffe, M.
Kinsella, K.
Velkoff, V.
Knodel, J.
Ofstedal, M.
Hermalin, A.
Kramer, M.
Liang, J.
Liu, X.
Gu, S.
Lamb, V. L.
Land, K. C.
Guralnik, J. M.
Blazer, D. G.
Laditka, S. B.
Hayward, M. D.
Laditka, S. B.
Wolf, D. A.
Lawton, M. P.
Brody, E.
Lieve, A.
Brouard, N.
Li, M.
Liu, X.
Liang, J.
Muramatsu, N.
Sugisawa, H.
Manton, K. G.
Gu, X.
Manton, K. G.
Corder, L. S.
Staffard, E. 
Manton, K.
Staliard, E.
Tolley, H. D.
Manton, K. G.
Martin, L. G.
Martin, L. G.
Kinsella, K.
Mathers, C. D.
Robins, L. M.
Wikins, R.
Medina, B.
Melinchok, M. D.
McEnvoy, K.
Stewart, A.
Rimkus, A.
Yeager, A.
Minois, G.
Morgan S. P.
Hirosima, K.
Mulhorn, K. A.
Murray, C. J.
Lopez, A. D.
Myers, G.
Lamb, V.
Agree, E.
Nagi, S. Z.
Nagi, S. Z.
Nagi, S. Z.
National Statistics Office
National Statistics Office
National Statistics Office
National Statistics Office
Natividad, J.
Natividad, J.
Cruz, G.
Natividad, J.
Cruz, G.
Nusselder, W. J.
Looman, C.
Nusselder, W. J. 
Ofstedal, M. B.
Natividad, J.
Ofstedal, M. B.
Zimmer, Z.
Cruz, G.
Chan, A.
Lin, Y. H.
Olshansky, S. J.
Rudberg, M.
Carnes, B.
Cassel, C.
Brody, J.
Olshansky, J.
Cames, B.
Cassel, C.
Olshansky, S.
Omran, A.
Orbeta, A.
Peck K. M.
Coward, R. T.
Petersen, W.
Riley, M. W.
Foner, A.
Riley, J.
Riley, M. W.
Robins, J. M.
Romieu, I.
Michel, J. P. 
Robine, J. M.
Nusselder, W.
Jagger, C.
Robine, J. M.
Romieu, I.
Robins, J. M.
Mathers, C.
Robine, J. M.
Ritchie, K.
Rogers, R. G.
Rogers, A.
Belanger, A.
Rogers, A.
Rogers, R. G.
Belanger, A.
Rogers, R. G.
Rogers, A.
Belanger, A.
Rogers, A.
Ross, C.
Wu, C.
Saito, Y.
Qiao, X.
Jitapunkul, S.
Saito, Y.
Crimmins, E.
Hayward, M.
Schoen, R.
Woodrow, K.
Schoen, R.
Schroots, J.
Yates, F.
Shankardass, M. K.
Sihvonen, A.
Kunst, A.
Lahelma, E.
Valkonnen, T.
Mackenback, J.
Silverstein, M.
Silverstein, M.
Bengtson, V.
Soda, O.
Spector, W. D.
Fleishman, J. A.
Sullivan, D. F.
Uback, M. L. 
Umberson, D. 
United Nations
United Nations
Verbrugge, L. M.
Jette, A.
Verbrugge, L. M.
Verbrugge, L. M.
Verbrugge, L. M.
Waidman. T.
Bound, J.
Schoenbaum, M.
Wiener, J.
Hartley, R.
Clark, R.
Van Nostrand, J.
Yates, F. E.
Benton, L.
Yates, F. E.
Benton, L.
Zimmer, Z.
Chayovan, N.
Lin, H. S.
Natividad, J.
Zimmer, Z.
Natividad, J.
Ofstedal, M.
Lin, H.
Zimmer, Z.
Natividad, J.
Lin, H.S.
Chayovan, N.
Zimmer, Z.
Liu, X.
Hermann, A.
Chuang, C.












