Author	Year	Title	Publication Type
Achenbum, W. A., & Bengtson, V.	1994	Re-engaging the disengagement theory of aging: On the history and assessment of theory development in gerontology	X
Aljunid, S. M.	1997	The aging population: Developing coordinated plan of care in the veteran community	X
Antonucci, T.	2001	Social relations: An examination of social networks, social suport and sense of control	Book
Baltes M. M., & Carstensen, L. L.	1999	Social-psychological theories and their applications to aging: From individual to collective	Book
Baltes M. M., & Smith, J.	1999	Multilevel and systemic analvses of old age: Theoretical and empirical evidence for the fourth age	Book
Barendregt, J.	2003	Disability-adjeusted Life Years (DALY) and Disability-Adjusted Life Expectancy (DALE)	Book
Barendregt, J. J., Bonneux, L., & Van der Maas, P.	2003	From a population health indicator to a fool for policy making	Journal Article
Bengtson V. L. & Shale, K. W.	1999	Handbook of theories of aging	Book
Birren , J., & Schroots, J.	1996	History, concepts and theory in the psychology of aging	Book
Bone M. R., Bebbington, A. C., Jagger, C., Morgan, K., & Nicolas, G.	1995	Health expectancy and its uses	X
Boshuizen H., & Parenboom, R.	2003	Classification and harmonisation	Book
Brouard, N., & Lievre, A.	2002	Computing health expectancies using ImaCh (A maximum likelihood computer program using interpolation of Markov Chains), INED and Euroreves	X
Cabigon, J. V.	1995	Shifts in diseases and adult mortality . Patterns in the Philippines	X
Cabigon, J. V., & Flieger, W.	1997	1995 Gender-spcific life tables for the Philippines, its regions and provinces	X
Camacho, T. C., Strawbridge, W. J., Cohen, R. D., & Kaplan, G. A.	1993	Functional ability in the oldest old: Cumulative impact of risk factors from the preceding two decades	Journal Article	
Camagay, D.	1999	Older women as community resources: Choosing to care	X
Casterline, J. B., L. Williams & P. McDonald, P.	1986	The age differences between spouses: Variations among developing countries	X
Crimmins, E.	1996	Mixed trends in population health among older adults	Journal Article	
Crimmins, E. M., & Cambois, E.	2003	Social inequalities in health expectancy	Book
Crimmins, E. M.	2001	Mortality and health in human life spans	Journal Article
Crimmins, E., & Saito, Y.	2001	Trends in disability-free life expectancy in the social United States, 1970-1990	Journal Article
Crimmins, E., & Saito, Y.	2000	Change in the prevalence of diseases among older Americans: 1984-1994	Online
Crimmins, E., Saito, Y. & Reynolds, S.	1997	Further evidence on recent trends in prevalence and incidence of disability among older Americans from two sources: the LSOA and NHIS	Journal Article
