Author	Year	Title	Publication Type
Abas, M., Punpuing, S., Jiraprarnukpitak, T., Guest, P., & Leese, M.	2009	Rural-urban migration and depression in ageing family members left behind.	Journal Article
Adhikari, R., Jampaklay, A., & Chamratrithirong, A.	2011	Impact of children's migration on health and health care-seeking behavior of elderly left behind.	Journal Article.
Agadjanian, V., Yabiku, S., & Cau, B.	2008	Men's migration and women's fertility in rural Mozambique.	Paper
Alburo, F., & Abella, D.	2002	Skilled labour migration from developing countries: Study on the Philippines.	Monograph
Amouzou, A., & Becker, S.	2009	Effects of economic status and family planning ideation on married women's fertility intentions in Ghana and Kenya.	Conference Paper
Andorka, R.	1978	Determinants of fertility in advanced societies.	Monograph
Asis, M.	2000	Migration and families in Asia.	Journal Article
Asis, M.	2006	Living with migration: Experiences of left behind children in the Philippines.	Journal Article 
Battistella, G., & Conaco, C.	1998	The impact of labour migration on the children left behind: A study of elementary school children in the Philippines.	Journal Article
Battistela, G., & Conaco, C.	1996	mpact of migration on the children left behind.	Journal Article
Basu, A.	2002	Why does education lead to lower fertility: A critical review of some of the possibilities.	Journal Article 
Bbaale, E., & Mpuga, P.	2011	Female education, contraceptive use, and fertility: Evidence from Uganda.	Journal Article
Becker, G., & Becker, G. S.	2009	A treatise on the family.	Monograph
Birdsall, N., & Cochrane, S.	1982	Education and parental decision making: A two generational approach.	Monograph
Bongaarts, J.	1978	A framework for analyzing the proximate determinants of fertility.	Journal Article 
Bongaarts, J., & Potter, R.	1979	Fertility effect of seasonal migration and seasonal variation in fecundability: Test of a useful approximation under more general conditions.	Journal Article
Bongaarts, J., & Potter, R.	1983	Fertility, biology, and behavior: An analysis of the proximate determinants.	Monograph
Bradatan, C.	2005	High out-migration and low fertility: A case study.	Monograph
Bradatan, C.	2006	The disruptive effect of emigration on fertility in a very low fertility context.	Monograph
Brand, J., & Davis, D.	2009	The impact of college education on fertility: Evidence for heterogeneous effects.	Working Paper
Brass, W. 	1964	Uses of census or survey data for the estimation of vital rates.	Paper
Bryant, J.	2005	Children of international migrants in Indonesia, Thailand and the Philippines: A review of evidence and policies.	Working Paper
Bustamante, J.	2009	Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development.	Report
Cabegin, E.	1986	Migration and fertility relationships in the Philippines: An application of the autoregressive model.	Thesis
Clifford, D.	2009	Spousal separation, selectivity and contextual effects: Exploring the relationship between international labor migration and fertility in post-soviet Tajikistan.	Journal Article
Conaco, C., & Battistella, G.	1998	The impact of labour migration on the children left behind: A study of elementary school children in the Phillipines.	Journal Article
Cortes, R.	2007	Children and women left behind in labor sending countries: An appraisal of social risks.	Online
