Abrahams, K.
Adestunji, J.
Afzal, M.
Khan, Z.
Chaudry, M. 
Alaka M.
Kaushik, B.
Alam, I.
Cleland, J. 
Arriaga, E. 
Arriaga, E. 
Arvind, P.
Minja K.
Luther, N.
Sahu, D.
Chard, J. 
Bleek, W.
Berton, F.
Rent, G.
Bhuiyat, A.
Streatfield, K.
Boerma, J.
Bicego, G.
Bonte, M.
Van Ballen, H. 
Bouvier, L.
Bumpass, L.
Rindfuss, R.
Palmore, J.
Cabigon, J. 
Cabigon, J. 
Cabigon, J.
Caldwell, J. 
Caldwell, J. 
Cantrelle, P.
Leridon, H.
Casterline, J.
Cooksey, E.
Ismail, A.
Chakraborty, N.
Sharmin, S.
Islam, M.
Cleland, J.
Safher, Z. 
Cleland, J.
Kaulinann, G. 
Coals, A. 
Costello, M.
Das Gupta, M.
Da Vanzo, J.
Butz, W.
Habicht, J.
Da Vanzo, J. 
Debpuur, C.
Wontuo, P.
Akazili, J.
Nyarko, P. 
Desai, S.
Alva, S. 
Dreze. J.
Sen, A.
D'Souza, S.
Bhuiya, A. 
Dyson, T. 
Forste, R.
Gemperli, A.
Vounatsou, P.
Kleinschmidt, I.
Bagayoko, M.
Lengeler, C.
Smith, T. 
Gubhaju, B. 
Gubhaju, B.
Streatfield, K.
Majumder, A. 
Gunasekran, S.
Ware, H.
Heligman, L. 
Hill, K.
Hill, K.
Bicego, G.
Mahy, M. 
Mustafa, H.
Odimegwu, C. 
Hobcraft, L. 
Hobcraft, J.
McDonald, J.
Rustein, S.
Hobcraft, J. 
Hobcraft, J.
McDonald, J.
Rutstein, S. 
Hobcraft, J.
McDonald, J.
Rutstein, S.
Hosseinpoor, A.
Mohammad, K.
Majdzadeh, R.
Naghavi, M.
Abolhassani, F.
Sousa, A.
Speybroeck, N.
Jamshidi, H.
Vega, J. 
Barnum, H.
Barlow, R. 
Irfan, M.
Beise, J.
Voland, E.
Jain, A.
Vermunt, J.
Moors, G. 
Knodel, J.
Hermalin, A.
Kovsted. J.
Portner, C.
Tarp, F. 
Madise, N.
Madise, N.
Diamond, I. 
Maglad, N.
Manda, S.
Martin. L. G.
Trussell, J.
Salvail, F.
Shah, N.
Masuy-Strwoobant, G.
Ministry of Health and Education
Royal Government of Bhutan
Morris, D.
Mosley, W.
Chen, L.
Mutunga, C. 
Okpala, A.
Felix, O.
Pender, G.
Palloni, A. 
Palloni, A.
Tiena, M. 
Palloni A. 
Pandey. A.
Cheo, M.
Luther, N.
Sahu, D.
Chard, J. 
Pavalavalli, G.
Ramesh, B. 
Pebley, A.
Stupp, P.
Pelletier, D.
Deneke, K.
Kidane, Y.
Haile, B.
Negussie, F. 
Popkin, B.
Retherford, R.
Cho, M.
Retherford, R.
Choe, M.
Thapa, S.
Gubhaju, B.
Royal Government of Bhutan
Ministry of Health, Royal Government of Bhutan
Bureau, Royal Government of Bhutan
Planning Commission, Royal Government of Bhutan
Planning Commission, Royal Government of Bhutan
Rutstein, S. 
Ruzika, L.
Kanitkar, T. 
Ruzika, L.
Kanitkar, T. 
Sastry, N.
Schultz, P.
Setty-Venugopal, V.
Upadhyay, U.
Sharipo, S.
Schlesinger, E.
Nesbitt, R. Jr. 
Shryock. H.
Siegel, J.
Steele, F. 
Kishor, S.
Parasuraman, S. 
Tempa, S.
Thapa, S.
Masudi, U.
United Nations
United Nations
United Nations
United Nations
United Nations Secretariat
United Nations
Venkatarcharya K.
Teklu, T.
Ware, H. 
Winikofli B.
Wolpin, K.
Wrigley, E. 
Yamaguchi, K.
Zablan, Z. 
Zablan, Z. 
