Author	Year	Title	Publication Type
Abrahams, K.	2006	Making a case for child survival in South Africa's age of hope.	Working Paper
Adestunji, J.	1994	Infant mortality in Nigeria, effects of place of birth, mother's education and region of residence.	Journal Article
Afzal, M., Khan, Z., & Chaudry, M.	1976	Age at marriage, fertility and infant and child mortality in Lahore Suburb, part 2.	Journal Article
Alaka M., & Kaushik, B.	1991	Women's economic roles and child survival: the case of India.	Journal Article
Alam, I., & Cleland, J.	1984	Infant and child mortality: trends and determinants.	Monograph
Arriaga, E. 	1979	Infant and child mortality in selected Asian countries.	Monograph
Arriaga, E.	1981	The deceleration of the decline in LDCs: the case of Latin America.	Monograph 
Arvind, P., Minja K., Luther, N., Sahu, D., & Chard, J.	1998	Infant and child mortality in India.	Report
Bleek, W.	1976	Spacing of children, sexual abstinence and breastfeeding in rural Ghana.	Journal Article
Berton, F., & Rent, G.	1981	Infant mortality by socioeconomic status for Black, Indian and White.	Journal Article
Bhuiyat, A., & Streatfield, K.	1991	Mothers' education and survival of female children in a rural area of Bangladesh.	Journal Article
Boerma, J., & Bicego, G.	1992	Preceding birth intervals and child survival searching for pathways of influence.	Journal Article
Bonte, M., & Van Ballen, H.	1969	Prolonged location and family spacing in Rwanda.	Journal Article
Bouvier, L.	1976	Infant mortality progress and problems.	Journal Article
Bumpass, L., Rindfuss, R., & Palmore, J.	1986	Determinants of Korean birth intervals: The confrontation of theory and data.	Journal Article 
Cabigon, J.	1990	Philippine mortality in changing times.	Dissertation
Cabigon, J.	2002	Revisiting the best covariates of infant and child mortality: the Philippine Case.	Paper 
Cabigon, J.	2008	Smoking initiation among the Filipino youth and their contact circle: Event history analysis.	Unpublished
Caldwell, J.	1979	Education as a factor in mortality decline.	Journal Article
Caldwell, J.	1994	How is greater maternal education translated into lower child mortality?	Journal Article
Cantrelle, P., & Leridon, H.	1971	Breastfeeding, mortality in childhood and fertility in a rural zone of Senegal.	Journal Article
Casterline, J., Cooksey, E., & Ismail, A.	1989	Household income and child survival in Egypt.	Journal Article
Chakraborty, N., Sharmin, S., & Islam, M.	1996	Differential pattern of birth intervals in Bangladesh.	Journal Article
Cleland, J., & Safher, Z.	1984	The effects of birth spacing on childhood Mortality in Pakistan.	Journal Article
Cleland, J., & Kaulinann, G.	1993	Education, fertility and child survival: unraveling the links.	Paper
Coals, A.	1991	Excess female mortality and the balance of the sexes.	Journal Article
Costello, M.	1988	Infant and childhood mortality research in the Philippines: Review and agenda.	Journal Article
Das Gupta, M.	1987	Selective discrimination against female children in rural Punjab, India.	Journal Article
Da Vanzo, J., Butz, W., & Habicht, J.	1983	How biological and behavioral influences on mortality in Malaysia vary during the EM year of life.	Journal Article
Da Vanzo, J.	1984	A household survey of child mortality determinants in Malaysia.	Journal Article
Debpuur, C., Wontuo, P., Akazili, J., & Nyarko, P.	2005	Health inequalities in the Kassena-Nankana District of Northern Ghana.	Monograph
Desai, S., & Alva, S.	1998	Maternal education and child health: is there a strong causal relationship.	Journal Article
Dreze. J., & Sen, A.	1985	Indian development: selected regional perspectives.	Monograph
D'Souza, S., & Bhuiya, A.	1982	Socioeconomic mortality differentials in a rural area of Bangladesh.	Journal Article
Dyson, T.	1981	Infant, child and maternal mortality and associated conditions of health in the greater Kabul of Afghanistan.	Journal Article
Forste, R.	1994	The effect of breastfeeding and child mortality in Bolivia.	Journal Article
Gemperli, A., Vounatsou, P., Kleinschmidt, I., Bagayoko, M., Lengeler, C., & Smith, T.	2004	Spatial pattems of infant mortality in Mali: the effect of nalaria endemicity.	Journal Article 
Gubhaju, B.	1986	Effect of birth spacing on infant and child mortality in rural Nepal.	Journal Article
Gubhaju, B., Streatfield, K., & Majumder, A.	1991	Socioeconomic, demographic and environmental determinents of infant mortality in Nepal.	Journal Article
Gunasekran, S.	1997	Determinants of infant and child mortality in rural India.	Thesis
Ware, H.	1984	Effects of maternal education, women's roles, and child care on child mortality.	Journal Article
Heligman, L.	1983	Patterns of sex differentials in mortality in less developed countries. Sex differentials in mortality: trends, determinants and consequences.	Monograph
Hill, K.	2003	Frameworks for studying the Determinants of child survival.	Journal Article
Hill, K., Bicego, G., & Mahy, M.	2001	Childhood mortality in Kenya: An examination of trends and determinants in the late 1980s to Mid 1990s.	Online
Mustafa, H., & Odimegwu, C.	2008	Socioeconomic determinants of infant mortality in Kenya: Analysis of Kenya DHS 2003.	Journal Article
Hobcraft, L.	1981	Use of special mortality questions in fertility surveys - the WFS experience.	Paper
Hobcraft, J., McDonald, J., & Rustein, S.	1982	Socioeconomic factors in infant and child mortality: a cross-national comparison.	Monograph
Hobcraft, J.	1993	Women's education, child welfare, and child survival: A review of the evidence.	Journal Article
Hobcraft, J., McDonald, J., & Rutstein, S.	1984	Socio-economic factors in infant and child mortality: A cross-national comparison.	Journal Article
Hobcraft, J., McDonald, J., & Rutstein, S.	1985	Demographic determinants of infant and early childhood mortality: a comparative analysis.	Journal Article
Hosseinpoor, A., Mohammad, K., Majdzadeh, R., Naghavi, M., Abolhassani, F., Sousa, A., Speybroeck, N., Jamshidi, H., & Vega, J.	2005	Socioeconomic inequality in infant mortality in Iran and across its provinces.	Journal Article
Barnum, H., Barlow, R.	1984	Modeling resources allocation for child survival.	Journal Article
Irfan, M.	1986	Mortality trends and patterns in Pakistan.	Monograph
Beise, J., & Voland, E.	2002	A multilevel event history analysis of the effects of grandmothers on child mortality in a historical German population.	Working Paper
Jain, A.	1985	Determinants of regional variations in infant morality in rural India.	Journal Article
Vermunt, J., Moors, G.	X	Event history analysis.	X
Knodel, J., & Hermalin, A.	1984	Effects of birth rank, maternal age, birth interval, and sibship size on infant and child mortality: Evidence from 18th and 19th century reproductive histories.	Journal Article 
Kovsted. J., Portner, C., & Tarp, F.	2002	Child health and mortality: does health knowledge really matter?	Journal Article
Madise, N.	2003	Infant mortality in Zambia: Socioeconomic and demographic correlates.	Journal Article
Madise, N., & Diamond, I.	1995	Determinants of infant mortality in Malawi: An analysis to control for death clustering within families.	Journal Article
Maglad, N.	1993	Socioeconomic determinants of fertility and child mortality in Sudan.	Discussion Paper
Manda, S. 	1998	Unobserved family and community effects on infant mortality in Malawi.	Journal Article
Martin. L. G., Trussell, J., Salvail, F., & Shah, N.	1983	Covariates of child mortality in the Philippines, Indonesia, Pakistan: An analysis based on hazard models.	Journal Article
Masuy-Strwoobant, G.	2001	The determinants of infant mortality: How far are conceptual frameworks really modeled?	X
Ministry of Health and Education, Royal Government of Bhutan	2000	A report - National Health Survey 2000.	Report
Morris, D.	1979	Measuring the condition of the world's poor: The physical Qualify of Life Index.	Monograph
Mosley, W., & Chen, L.	1984	An analytical framework for the study of child survival in developing counties.	Monograph 
Mutunga, C.	2004	Environmental determinants of child mortality in Kenya. Nairobi, Kenya: Kenya Institute for Public Policy Research and Analysis.	Online
Okpala, A., Felix, O., & Pender, G.	1997	Poverty and child survival in Sub-Saharan Africa.	Journal Article 
Palloni, A.	1986	Effects of breastfeeding and pace of childbearing on mortality.	Journal Article
Palloni, A., & Tiena, M.	1986	The effects of breastfeeding and pace of childbearing on mortality at early ages.	Journal Article
Palloni A.	1989	Effects of inter-birth intervals and breastfeeding on infant and early childhood mortality.	X
Pandey. A., Cheo, M., Luther, N., Sahu, D., & Chard, J.	1998	Infant and child mortality in India.	Report 
Pavalavalli, G., & Ramesh, B.	1997	Maternal education and the utilization of maternal and child health services in India.	Report
Pebley, A., & Stupp, P.	1987	Representative patterns and child mortality in Guatemala.	Journal Article
Pelletier, D., Deneke, K., Kidane, Y., Haile, B., & Negussie, F.	1995	The food-first bias and tuition policy: lessons from Ethiopia.	Journal Article.
Popkin, B.	1980	Time allocation of the mother and child nutrition.	Journal Article
Retherford, R., & Cho, M.	1993	Statistical methods for causal analysis.	Monograph
Retherford, R., Choe, M., Thapa, S., & Gubhaju, B.	1989	To what extent does breastfeeding explain birth-interval effects of early childhood mortality?	Journal Article
Royal Government of Bhutan	2002	Millennium Development Goals Progress Report.	Report
Ministry of Health, Royal Government of Bhutan	2000	National Health Survey Report.	Report
National Statistics Bureau, Royal Government of Bhutan	2004	Poverty Analysis Report.	Report
Planning Commission, Royal Government of Bhutan	1999	Bhutan 2020, a vision for peace, prosperity and happiness.	X
Planning Commission, Royal Government of Bhutan	2000	Bhutan national human development report.	Report
Rutstein, S.	2000	Factors associated with trends in infant and child mortality in developing countries during the 1990s.	Journal Article 
Ruzika, L., & Kanitkar, T.	1973	Infant mortality in greater Bombay.	Journal Article
Ruzika, L., & Kanitkar, T.	2005	SAARC regional poverty profile.	X
Sastry, N.	1996	Community characteristics, individual and household attributes, and child survival in Brazil.	Journal Article
Schultz, P.	1984	Studying the impact of household economic and community variables on child mortality.	Journal Article
Setty-Venugopal, V., & Upadhyay, U.	2002	Birth spacing: three to five saves lives.	Journal Article
Sharipo, S., Schlesinger, E., & Nesbitt, R. Jr.	1968	Infant, perinatal, maternal and childhood, mortality in the United States.	Monograph
Shryock. H., & Siegel, J.	1976	The methods and materials of demography.	Monograph
 SPSS Inc.	X	A Guide for SPSS Statistics and SAS Users	X
Steele, F.	2005	Event history analysis.	Monograph
Kishor, S., & Parasuraman, S.	1998	Mother's employment and infant and child mortality in India.	Report
Tempa, S.	1998	A study of the infant survival in Maharashtra: Evidence from NFHS.	Unpublished
Thapa, S.	2008	Declining trends of infant, child and under-five mortality in Nepal.	Journal Article
Masudi, U.	2001	Covariates of child mortality in Mali: does the health seeking behavior of the matter?	Journal Article
United Nations	X	 United Nations statistical Database.	Online 
United Nations	X	Guidelines on tracking child and maternal mortality.	Online
United Nations	1982	National household survey capability programme: non-sampling errors in household surveys: sources, assessment and control: preliminary version.	Monograph
United Nations	1985	Socio-economic differentials in child mortality in developing countries.	Monograph
United Nations Secretariat	1988	Sex differentials in life expectancy and mortality in developed countries: an analysis by age groups and causes of death from recent and historical data.	Journal Article
United Nations	1996	Child survival and family planning programmes and fertility.	X
Venkatarcharya K., & Teklu, T.	1986	Conceptual framework for the study of child health and child care.	Workshop Proceedings
Ware, H.	1984	Effects of material education, women's roles and child care on child mortality.	Journal Article 
X	2003	Water matters: safe water for all.	Online
Winikofli B.	1983	The effects of birth spacing on child and maternal health.	Journal Article
Wolpin, K.	1997	Determinants and consequences of the mortality and health of infants and children.	Monograph
Wrigley, E.	1977	Birth and baptisms: The use of Anglican baptisms registers as a source of information about the number of birth in England before the beginning of civil registration.	Journal Article
Yamaguchi, K.	1987	Event history analysis: its contribution to modeling and causal inference.	Journal Article
Zablan, Z.	1978	Trends and differentials in mortality.	Monograph
Zablan, Z.	1983	Trends and differentials in mortality.	Monograph
