Author	Year	Title	Publication Type
Anh, N. D., Duong, B. L., & Van, H. N.	2005	Youth employment in Vietnam: Characteristics, determinants and policy responses.	Monograph
Asian Development Bank and Bhutan	X	X	Online
X	X	Bhutan life expectancy at birth.	Online
Brugiavini, A., & Peracchi, F.	2004	The length of working lives in Europe: evidence from the ECHP. University of Venice and Tor Vergata University.	X
Cambois, E., Robine, M. J., & Brouard, N.	1999	Life expectancies applied to specific statuses: a history indicators and the methods of calculation.	X
X	X	Chapter marital status, Labour market and Employment status.	X
Choden, P.	2010	Less graduate, fewer job.	Online
Chua, M.	2008	The pursuit of happiness: Issue facing Bhutanese youths and challenges posed to GNH.	X
Dauffenbach, C., & El-Huni, M.	X	Married female labour force participation in a less developed countries.	Monograph
Denu. B., Tekeste, A., & Deiji, H.	2005	Characteristics and determinants of youth unemployment, underemployment and inadequate employment in Ethiopia.	X 
Dorji. L., & Kinga, S.	2005	Youth in Bhutan: education, employemnt, development.	Monograph
Dorji, P.	2010	Youth unemployment continues to rise.	Online 
Echebiri, R.	2005	Characteristics and determinants of urban youth unemployment in Umuahia, Nigeria: implications for rural development and alternative labor market variables.	Monograph
Fitzenberger, B., Schnabel, R., & Wunderlich, G.	2004	The gender gap in labour market participation and employment: a cohort analysis of West Germany.	Journal Article
Garcia, R.	2007	Philippines economic performance assessment.	Monograph
Giacchino, L. & Pessino, C.	1993	Rising Unemployment in Argentina.	Monograph
Higgins, N.	1997	The challenge of youth unemployment: action programme on youth unemployment.	Monograph.
Hussmanns, R.	X	Measure of employment, unemployment and underemployment: current international standards and issues in their applications.	Monograph
International Labour Organization Subregional Office East Asia	2007	Thailand Labour Market Indicators 1990-2004.	X
Kpedepo. G.	1969	On working lfie tables in Ghana with particular reference to the female working population.	Journal Article
Kpedepo, G.	1969	On working life tables in Ghana with particular reference to the male working population.	Journal Article
Krishnan, P. 	1971	The length of working life: India.	Journal Article
Linacre, S.	2007	Australian Social Trends: Labour force participation: an international comparison. Australian Bureau of Statistics.
Lsengard, B.	2002	Youth unemployment: Individual risk factors and institutional determinants.	Case Study
Magidu, N.	2010	Socio-economic investigation into determinants of labour force participation in labour markets: Evidence from Uganda.	Monograph
Maurer-Fazio, M., Connelly, R., Lan, C., & Tang, L.	2009	Childcare, eldercare, and and labor force participation of married women in urban china: 1982-2000.	X
Mueller, R.	2000	Women and the labour market changing economics.	Monograph
Ohadike, P. & Tesfaghiorghis, H.	1974	The Population of Zambia.	X 
Pabilonia, S.	1997	Evidence on Youth Employment, Earnings, and Parental Transfers in the National Longitudinal Survey of Youth 1997.	Journal Article
Palamuleni, M.	2001	Working life tables for South Africa, 1996-2001.	Monograph
Pastore, F.	2005	To study or to work? education and labour market participation of young people of Poland.	Monograph
Pem, T.	2009	Each day, six road accidents.	News
Rahman, R.	2005	The dynamics of labour market and employment in Bangladesh: a focus on gender dimensions.	X
RCSC	X	X	Online
Ree, A., & Gray, W.	1982	Family effects in youth employment.	Monograph 
Reyes, D.	2005	Generation of Philippine working life tables: some methodological considerations. 	Thesis
Richen, K.	X	Education reform and employment opportunities in Bhutan.	Monograph
Royal Government of Bhutan, Ministry of Labour and Human Resources	2009	Labour Market Information Bulletin.	Bulletin
Royal Government of Bhutan, Ministry of Labour and Human Resources	2009	National Labour Force Survey Report 2009.	Report
Royal Government of Bhutan, Ministry of Labour and Human Resources	2006	National Labour Force Survey Report 2006.	Report
Royal Government of Bhutan, Ministry of Labour and Human Resources	2008	National Labour Force Survey Report 2008.	Report
Sackey, H.	2005	Female labour force participation in Ghana: The effects of education.	Monograph
Sallenh, A.	1976	Mortality difference among racial communities in peninsular Malaysia and their implications on economically active life.	Thesis
Salvador, R. & Killinger, N.	2008	The analysis of unemployment in the Euro areas.	Monograph
Schreiner, F., & Knutson	X	Place of residence as it relates to female labour force participation, work time supplied and income returns.	X
Shryock, H., & Siegel, J.	1976	The methods and materials of demography.	Monograph
X	X	Statistic solution.	Online
Tshering, N.	2009	How can we save our youth?	Online
United Nations, Economics and Social Affairs	2003	World youth Report 2003.	Report
United Nations, Economic and Social Affairs	1968	Population studies no. 43: method of analysisng census data on economic activities of the population.	Monograph
X	X	Unfilled vacancies from Bhutan majestic travel website.	Online
X	X	Vehicle accidents from Bhutan broad casting service.	Online
