Amato, P.
Balk, D.
Raymundo, C.
Belsky, J.
Berja, C.
Kabamalan, M.
Blum, R.
Catan, L.
Dennison, C.
Coleman, J.
Clauson, C.
Weber, R.
Chao, R.
Chase-Lansdale, P.
Wakschlag, L.
Cole, L.
Hall, I.
Cruz, G.
Laguna, E.
Raymundo, C.
Dator-Bercilla, J.
De Guzman, E.
Diaz, S.
Doyle, A.
Morretti, M.
Brendgen, M.
Bukowski, W.
Elkin, E.
Elikington
Freeman, H.
Newland L.
Hardin, M.
Healy, J.
Hulipas, E.
Hutchinson, K.
Jaccard, J.
Dodge, T.
Jocano, F.
Jocano, F.
Lezin, N.
Rolleri, L.
Bean, S.
Taylor, J.
Lenciauskiene, I.
Zaborskis, A. 
Longmore, M.
Lotivio, Z.
Marquez, M.
Marquez, M.
Galban, M.
Masche, G.
McLanahan, S.
Seltzer, J.
Hanson, T.
Thomson, E.
Medina, T.
Miller, B.
Moore, K.
Mueller, K.
Powers, W.
Natividad, J.
Marquez, M.
Papini, D.
Roggman, L.
Anderson, J.
Quieta, R. 
Raymundo, C.
Cruz, G.
Rubin, K.
Chung, O.
Simpson, A.
Urbano-Batangan, M.
UNICEF
UNAIDS
WHO
Whitaker, D.
Miller, K.
Xenos, P.
Raymundo, C.
Berja, C.
