Author	Year	Title	Publication Type
Amato, P.	1986	Father involvement and the self-esteem of children and adolescents.	Journal Article
Balk, D., & Raymundo, C.	1999	Childbearing: Adolescent sexuality in the Philippines.	Monograph 
Belsky, J.	2005	Social contextual determinants of parenting.	Encyclopedia
Berja, C., & Kabamalan, M.	2004	2003 Young adult fertility and sexuality survey (YAFS-3) in the Philippines technical notes.	Monograph 
Blum, R.	2002	Mother's influence on teen sex: connections that promote postponing sexual intercourse.	Monograph
Catan, L., Dennison, C., & Coleman, J.	1997	Getting through: Effective communication in the teenage years.	Online
Clauson, C., & Weber, R.	2003	The amount and timing of parent-adolescent sexual communication as predictors of late sexual risk-taking behaviours.	Journal Article
Chao, R.	2000	Cultural explanations for the role of parenting in the school success of Asian American children.	Monograph
Chase-Lansdale, P., Wakschlag, L.	1995	A psychological perspective on the development of caring in children and youth: The role of the family.	Journal Article
Cole, L., & Hall, I.	1970	Psychology of adolescence.	Monograph  
Cruz, G., Laguna, E., & Raymundo, C.	2002	Family influences on the lifestyle of the Filipino youth.	Journal Article
Dator-Bercilla, J.	2008	Parental influences on youth's attitudes on sexual issues and sexual behaviors: Focus on Region 6.	Working Paper
De Guzman, E., & Diaz, S.	1999	Chapter 3: Dating Behavior.	Monograph
Doyle, A., Morretti, M., Brendgen, M., & Bukowski, W.	X	Parent-child relationships and adjustment in adolescence: findings from the HBSC Cycle 3 and NLSCY Cycle 2 Studies.	Technical Report
Elkin, E., & Elikington	2008	Family functioning, HIV risk and substance use in detained adolescents. HIV Center for Clinical and Behavioral Sciences, Columbia University and NYSP. 	Presentation
Freeman, H., & Newland L.	2002	Family transitions ding the adolescent transition: implications for parenting.	Online
Hardin, M.	2002	Early intercourse and self-esteem linked in adolescent behavior.	Online
Healy, J.	2007	The essentials of statistics: a tool for social research.	Monograph
Hulipas, E.	2005	The inner world of the sexually abused adolescents with mental retardation at the National Center for Mental Health Women and  Children Protection Unit.	Thesis
Hutchinson, K.	2002	The influence of sexual risk community as predictors of late adolescent sexual risk behaviors.	X
Jaccard, J., Dodge, T.	2002	Parent-adolescent communication about sex and birthcontrol: A conceptual framework.	Journal Article
Jocano, F.	1998	Filipino social organization: Traditional kinship and family organization.	Monograph
Jocano, F.	1997	Filipino value system: A cultural definition.	Monograph
Lezin, N., Rolleri, L., Bean, S., & Taylor, J.	2004	Parent-child connectedness: Implications for research, interventions and positive impacts on adolescent health.	Monograph
Lenciauskiene, I., & Zaborskis, A.	2008	The effects of family structure, parent-child relationship and parental monitoring on early sexual behavior among adolescents in nine European countries.	X
Longmore, M.	2001	Preadolescent parenting strategies and teens dating and sexual initiation: A longitudinal analysis.	Journal Article
Lotivio, Z.	2010	Sequences of family formation events among female youth in the Philippines.	Paper
Marquez, M.	2004	The family as protective factor against sexual risk-taking behavior among Filipino adolescents, 2002 YAFS.	Working Paper
Marquez, M., & Galban, M.	2004	Getting hotter, going wilder? changes in sexual risk-taking behavior, 2002 YAFS.	Working Paper
Masche, G.	1998	Perceptions of parenting behaviors and of parent-child relationships at Age 13 and 16: Qualitative and quantitative age effects.	Online
McLanahan, S., Seltzer, J., Hanson, T., & Thomson, E.	1994	Child support enforcement and child well-being: Greater security or greater conflict? Child support and child well-being.	Online
Medina, T.	2005	The Filipino family. (2nd ed.).	Monograph
Miller, B., & Moore, K.	1990	Adolescent sexual behavior, pregnancy, and parenting: research through 1980's.	Journal Article
Mueller, K., & Powers, W.	1990	Parent-child sexual discussion: perceived communication style and subsequent behavior.	Journal Article
Natividad, J., & Marquez, M.	2004	Sexual behaviors: Youth sex and risk behaviors in the Philippines.	X
Papini, D., Roggman, L., & Anderson, J.	1991	Early-adolescent perceptions of attachment to mother and father: a test of the emotional-distancing and buffering hypotheses.	Journal Article
Quieta, R.	1986	All empirical analysis of the Department of Social Welfare and Development's family welfare indicators.	Monograph
Raymundo, C., & Cruz, G.	2003	Dangerous connections: Substance abuse and sex among adolescents.	Journal Article
Rubin, K., & Chung, O.	2006	Parenting beliefs, behaviors, and parent-child relations: A cross-cultural perspective.	Monograph
Simpson, A.	2001	Raising teens: a synthesis of research and a foundation for action.	Monograph
Urbano-Batangan, M.	2003	The context of sexual risks among Filipino adolescents: a review of literature.	Journal Article
UNICEF, UNAIDS, & WHO	2002	Young people and HIV-AIDS opportunity in crisis.	X
Whitaker, D., & Miller, K.	2000	Parent-adolescent discussions about sex and condoms: impact on peer influences of sexual behavior.	Journal Article
Xenos, P., Raymundo, C., & Berja, C.	1999	Union formation and premarital sex. Adolescent Sexuality in the Philippines.	Monograph
