Author	Year	Title	Publication Type
Agence-France-Presse	2013	PH lifts ban on sending workers to Iraq. POEA.	Online
Agnew, J.	1994	The territorial trap: The geographical assumptions of International Relations Theory.	Journal Article
Alburo, F. & Abella, D.	2002	Skilled labour migration from developing countries: Study on the Philippines.	Online
Anonuevo, A. T.	2002	Migrant women's dream for a better life: At what cost?	Monograph
Anonuevo, A.T. & Estopace, D.	2002	Doing the second shift: difficulties of husbands left behind.	Monograph
Anonuevo, A. T.	2008	Understanding the duality of overseas Filipino migration.	Monograph
Araji, S. K.	1983	Married white women: Occupational mobility and earnings of part-fime vs. full-lime workers.	Journal Article
Arif, G. M. & Iran, M.	1997	Return migration and occupational change: The case of Pakistani migrants returned from the Middle East.	Journal Article
Asian Migrant	1993	Trends in asian labor migration, 1992.	Journal Article.
Asis, M. M. B.	1992	The overseas employment program policy.	Monograph
Asis, M. M. B.	2003	Asian women migrants: Going the distance, but not far enough.	Online 
Asis, M. M. B.	2008	The social dimensions of international migration in the Philippines: Findings from research.	Monograph
Asis, M. M. B.	2010	Demography 241 class lecture on international migration.	Powerpoint Slides
Asis, M. M. B.	2011	Minding the gaps: Migration, development and governance in the Philippines.	Online
Bacol, M. M.	1971	A study of inter-generational occupational mobility in the Philippines.	Thesis
Bocol, M. M.	1971	Inter-generational occupational mobility in the Philippines.	Journal Article
Bangko Sentrol ng Pilipinas	2010	Overseas Filipinos' cash remittances by country, by source for the pedods indicated in thousand U.S. dollars.	Online
Bangko Sentral ng Filipinas	2011	Overseas Filipinos' cash remittances by . country, by source for the periods indicated in thousand U.S. dollars.	Online
Bangko Sentral ng Pilipinas	2012	Overseas Filipinos' cash remittances by country, by source for the periods indicated in thousand u.s. dollars.	Online
Bangko Sentral ng Pilipinas	2013	OFW remittances-historical.	Online
Bangko Sentral ng Pilipinas	2013	Overseas Filipinos' cash remittances by country, by source for the periods indicated in thousand U.S. dollars.	Online
Bartolome, C. D.	1996	Cross-cultural adjustment problems of Overseas Filipino Workers.	Journal Article
Beck, S. H.	1983	The role of other family members in intergenerational occupational mobility.	Journal Article
Becker, G. S.	1964	Human capital: A theoretical and empirical analysis, with special reference to education.	Monograph
Becker, G. S.	1975	Human capital: A theoretical and empirical analysis, with special reference to education (2nd ed.).	Monograph
Bengco, R.	1995	X	X
Bielby, W. T.	1991	The structure and process of sex segregation.	Monograph
Bleu, P. M., & Duncan, O. D.	1967	The American occupational structure.	Monograph
Bogue, D.	1969	Principles of demography.	Monograph
Borjos, G. J.	2006	Making it in America: Social mobility in the immigrant population.	Journal Article
Bourdieu, P.	1984	The economy of practices.	X
Bourgeault, I. L., Neiterman, E., LeBrun, J., Viers, K. & Winkup, J.	2010	Brain gain, drain, & waste: The experiences of internationally educated health professionals in Canada.	Online
Brinkerhoff, D. B., White, L. K., & Ortega, S. T.	1999	Essentials of Sociology.	Monograph
Cabigon, J. V.	1980	A socioeconomic index for all occupations in the Philippines.	Report 
Calhoun, C., Light, D., & Keller, S.	1996	Sociology (7th ed.).	Monograph
Carino, B. V.	1987	The Philippines and Southeast Asia: Historical roots and contemporary linkages.	Monograph
Castles, S. &. Miller, M. J.	1993	The age of migration: International population movements in the modern world.	Monograph
Chiswick, B. R., Lee, Y. L. & Miller, P.	2002	Longitudinal analysis of immigrant occupational mobility: A test of the Immigrant Assimilation Hypothesis.	Discussion Paper
Co, C. Y.	2007	The labor market experience of U.S. immigrants: O match and mobility. institute for the Study of Labor.	Online
