Author	Year	Title	Publication Type
Abdalla & Shaheen	2007	Completeness of adult death registration in Sudan in 2002.	Journal Article
Bietsch	2012	A guide to stable retrieved population.	Online
Brass, W.	1975	Methods for estimating fertility and mortality from limited and defective data.	Monograph
Cabigon, J. V.	1990	Philippine mortality in changing times.	Dissertation
Cabigon, J. V.	1995	Experiences in estimating infant and child mortality in the Philippines.	Conference Paper 
Cabigon, J. V. and Flieger, W.	1999	1995 Gender-specific life tables for the Philippines, its regions and provinces.	Monograph
Cabigon, J. V.	2009	2000 Life table estimates for the Philippines and provinces by sex.	X
Coale, A.J., & Demeny, P.	1966	Regional model life tables and stable populations.	Monograph
Coale, A. J. and Demeny, P.	1966	Regional model life tables and stable populations.	Monograph
Collado, P.	2008	Uses of civil registry documents.	Paper
Costelo, M.	1988	Infant and childhood mortality research in the Philippines: Review and agenda.	Journal Article
Courbage, Y., & Fargues, P.	1979	A method of deriving mortality estimates from incomplete vital statistics.	Journal Article
Cruz, G., & Abellera, C	2015	Is there age and sex misreporting in the Philippine Census?	Paper
Cruz, G. T., Cruz, C. P., & Kabamalan, M.	2015	Assessing and acyusting the 2000 Philippine Census Population Count.	Paper
Ericta C., and Espinoza, M. 	2004	Monitoring the indicators of the millennium development goals through the civil registration and vital statistics system.	Paper
X	X	X	Online
Health Metrics Network	2009	Assessing the production, quality and use of national vital statistics: a case study of the Philippines.	X
Hill, K.	1982	Approaches to the measurement of childhood mortality: A comparative review.	Monopgrahs
Hill, K.	1994	Methods for measuring adult mortality in developing countries: A comparative review.	Online
Hufana, L.	2006	Civil registry documents' clockwork.	Paper 
Kupu, S.	1999	Mortality analysis for Tonga.	Journal Article
Moulrie, R. A., Dorrington, R. E., Hill, A. G., Hill, K., Timaeus, I., & Zaba, B.	2013	Tools for demographic estimation.	Monograph
National Statistical Coordination Board	2015	The Philippines millennium development goals.	Online
National Census and Statistics Office	1983	Manual on civil registration. Civil Registrar General, NCSO.	Monograph
National Statistics Office Philippines and Macro International Inc.	n. d.	1988 & 1993 national demographic survey.	Survey
National Statistics Office	1993	CRG Administrafive Order No. 1, Series of 1993.	Law
National Statistics Office	1993	Manual of instructions: Accomplishment and coding of civil registry forms.	X
National Statistics Office	2000	Technical notes 2000 census-based population projections.	Online
National Statistics Office, and ORC Macro	2004	National demographic and health survey 1998, 2003, & 2008.	Survey
National Statistics Office	2009	Civil Registration and Vital Statistics System Assessment.	Report
National Statistics Office	2012	Final Report on Completeness Study of Death Registration in the Philippines, Its Regions and Provinces for 2007.	X
National Statistics Office	2012	Assessment of the civil registration and vital statistics system at the sub-national level.	Report
Philippine Health Information Network	2014	Philippine CRVS strategic plan, 2014- 2019.	Plan
Philippine Statistics Authority, & ICE International	2014	Philippine National Demographic and Health Survey 2013.	Survey
Preston, S. H., Coale, A. J., Trussell, T. J. & Weinstein, M.	1980	Estimating the completeness of reporting of adult deaths populations that are approximately stable.	Journal Article
Shryock, H. S., Siegel, J. S.	1975	The methods and materials of demography.	Monograph Office.
Siegel, J. S. & Washington, D.	2004	The methods and materials of demography. Second Edition.	Monograph
UNICEF, WHO, The World Bank, & UN Population Division	2006	Levels and trends of child mortality in 2006: Estimates developed by the inter-agency group for child mortality estimation.	X 
UNESCAP, WHO, Philippine Department of Health, Philippine Statistics Authority, & Canadian Department of Foreign Affairs, Trade and Development	2014	Strengthening the civil Registration and vital statistics: A case study of the Philippines.	X
UN Population Division	1983	Manual X- Indirect techniques for demographic estimation.	Online
United Nations	1982	Model life tables for developing countries.	X
United Nations	1995	Feasibility study on accelerating the improvement of civil registration and viral statistics systems of the Philippines.	Monograph
United Nations	2001	Principles and recommendations for a vital statistics system. Revision 2, United Nations New York, 2001
World Health Organization	2008	Health in Asia and the Pacific.	X 
