Author	Year	Title	Publication Type
Asian Development Bank	2009	Poverty in the Philippines: causes, constrains and opportunities	Book
Baguinon, N. & Casas, E.V.	2009	Optimizing landscape value for man and nature: a case study of land suitability mapping to conserve biodiversity in Lawaan, Eastern Samar, Philippines	X
Balisacan, A.M. & Hill, H.	2005	Regional dynamics and decentralization in the Philippines: Ten lessons from a 'fast starter'	X
Bersamin, M., Todd, M. & Remer, L.	2011	Does distance matter? Access to family planning clinics and adolescent sexual behaviors	Journal
Brownstein, J., Cassa, C., Kohane, I. & K. Mandl	2005	Reverse geocoding: concerns about patient confidentiality in the display of geospatial health data	X
Buckley, R., Gahegan,  M., & K. Clarke	2000	Geographic visualization as an emerging research theme in GIScience. Oregon State University	Online
Burgert, C. R., Colston,  J., Roy, T. & Zachary, B.	2013	Geographic displacement procedure and geo referenced data release policy for the demographic and health surveys	X
Coale, A.	1973	The demographic transition international population conference	X
Curran, S., Entswisle, B., Evans, T., Rindfuss, R. & Walsh. S.J.	1997	Geographic Information System, spatial network analysis, and contraceptive choice	Journal Article
Health Policy Development and Planning Bureau Department of Health	2012	National Objectives for Health Philippines, 2011-2016	X
Herrin, A.	2002	Population Policy in the Philippines, 1969-2002	Book
Jones, G.	2013	The population of Southeast Asia	Online
Lakew, Y., Reda, A.V., Tamene, H., Benedict, S., & Deribe, K.	2013	Geographical variation and factors influencing modern contraceptive use among married women in Ethiopia: evidence from a national population based survey	Journal Article
Lamberte, E., Lee, N., Garganian, D., & Kantner, A.	2000	Family Planning Service Utilization and Market Segmentation in the Philippines	Online
Leonardo, L., Marcelo, A., Solon, J. A. & Villasper, J.	2007	Geographic information systems in health research and services delivery in the Philippines	X
Population Reference Bureau	2006	Making the link in the Philippines: Population, health and environment	Online
Namulanda, G.	2005	HIV/AIDS, GIS and the internet: Efficient health care planning and equitable resource allocation for HIV/AIDS health and social services	Thesis
National Epidemiology Center	2008	Field health services and information system	X
National Epidemiology Center	2013	Field health services and information system	X
Orbeta, A.	2004	Population and poverty at the household level: revisiting the links using the household surveys	Thesis
Orbeta, A.	2006	Poverty, fertility preferences and family planning practices in the Philippines	Journal Article
Paringgit E., Santillian, J. & Makinano, M.	2011	Integrated landsat image analysis and hydrologic modeling to detect impacts of 25-year land-cover change on surface runoff in a Philippine watershed	Journal Article
Philippine Statistics Authority (PSA), & ICE Macro	2009	National demographic and health survey 2008	X
Philippines Statistics Authority (PSA), & ICE International	2014	Philippines national demographic and health survey 2013	X
Philippine Statistics Authority (PSA)	X	Tables and thematic maps	X
Pickle L., Waller, L. & Lawson, A.	2005	Current practices in cancer spatial data analysis: a call for guidance	Journal Article
Prata, N.	2007	The need for family planning	Journal Article
Richards, T., Croner, C., Rushton, G., Brown, C., & Fowler, L.	1999	Geographic information systems and public health: Mapping the future	X
Robey, B., Rutstein, S., & Morris, L.	1994	The fertility decline in developing countries	X
Sherman, J. & Fetters, T.	2007	Confidentiality concerns with mapping survey data in reproductive health research	Journal Article
Sileo, K. M.	2014	Determinants of family planning service uptake and use of contraceptive among postpartum women in rural uganda	Thesis
Tanskanen, A., Nillos, L., Lehtinen, A., Nohynek, H., Sanvictores, D., Simoes, E., Tallo, V., &  Lucero, M.	2012	Geographic information system and tools of spatial analysis in a pneumococcal vaccine trial	X
X	2008	Using geographic information system tools to address disparities in access to family planning services and commodities in Latin America and the Caribbean	X
Wang, W. S., Pullum, T., & Ametepi, P.	2012	How family planning supply and the service environment affect contraceptive use: findings from four East African Countries	X
Wang, W. S., Winner, M., Burger, C., & Colston, V.	2014	Influence of service readiness on use of facility delivery care: a study linking health facility data in Haiti	X
