cited by,journals
"Acielo, J.",Social Science and Medicine
"Acielo, J.",Demography
"Acielo, J.",International Breastfeeding Journal
"Acielo, J.",Ethiopian Journal of Health Development
"Acielo, J.",Family Planning Perspectives
"Acielo, J.",Canadian Journal of Public Health
"Acielo, J.",Morbidity and Mortality Weekly Report: Surveillance Summaries
"Acielo, J.",International Breastfeeding Journal
"Acielo, J.",Sexual and Reproductive Health
"Acielo, J.",Journal of Nutrition
"Acielo, J.",Family Planning Perspectives
"Acielo, J.",Population Research and Policy Review
"Acielo, J.",Perspectives on Sexual and Reproductive Health
"Acielo, J.",Pan American Journal of Health
"Acielo, J.",American Journal of Public Health
"Acielo, J.",Studies in Family Planning
"Acielo, J.",The Journal of Medical Investigation
"Acielo, J.",Studies in Family Planning
"Acielo, J.",Economic Development and Cultural Change
"Acielo, J.",Journal of Human Lactation
"Acielo, J.",Perspectives on Sexual and Reproductive Health
"Acielo, J.",Studies in Family Planning
"Acielo, J.",Asia Pacific Population Journal
"Acielo, J.",Population Studies
"Acielo, J.",Public Health Nutrition
"Acielo, J.",Family Planning Perspectives
"Acielo, J.",Women and Birth
"Acielo, J.",International Journal of Epidemiology
"Acielo, J.",Studies in Family Planning
"Acielo, J.",Pediatrics
"Acielo, J.",Demography
"Acielo, J.",The Journal of Family Practice
"Acielo, J.",Public Health Nutrition
"Acielo, J.",Population and Development Review
"Acielo, J.",The Philippine Review of Economics
"Acielo, J.",Bio Medical Central
"Agustin, S.",Journal of Educational Psychology
"Agustin, S.",Journal of Labor Economics
"Agustin, S.",Sociology of Education
"Agustin, S.",American Sociological Review
"Agustin, S.",American Sociological Review
"Agustin, S.",American Sociological Review
"Agustin, S.",Psychological Bulletin
"Agustin, S.",American Sociological Review
"Agustin, S.",Annals of Child Development
"Agustin, S.",Annual Review of Psychology
"Agustin, S.",Journal of Marriage and Family
"Agustin, S.",American Journal of Sociology
"Agustin, S.",Journal of Political Economy
"Agustin, S.",Adolescence
"Agustin, S.",Science
"Agustin, S.",Developmental Psychology
"Agustin, S.",Youth and Society
"Agustin, S.",Demography
"Agustin, S.",American Sociological Review
"Agustin, S.",Social Biology
"Agustin, S.",Social Science Quarterly
"Agustin, S.",Annual Review of Sociology
"Agustin, S.",American Journal of Sociology
"Agustin, S.",Sociology of Education
"Agustin, S.",Review of Economics and Statistics
"Agustin, S.",Child Development
"Agustin, S.",Studies in Educational Evaluation
"Agustin, S.",American Sociological Review
"Agustin, S.",American Sociological Review
"Agustin, S.",The American Psychologist
"Agustin, S.",American Sociological Review
"Agustin, S.",Econometrics
"Agustin, S.",Sociology of Education
"Agustin, S.",British Journal of Educational Psychology
"Agustin, S.",American Sociological Review
"Agustin, S.",Sociology of Education
"Agustin, S.",Annual Review of Sociology
"Agustin, S.",Developmental Psychology
"Agustin, S.",Journal of Education for Students Placed at Risk
"Agustin, S.",Journal of Public Economics
"Agustin, S.",The High School Journal
"Agustin, S.",Development
"Agustin, S.",American Sociological Review
"Agustin, S.",American Sociological Review
"Agustin, S.",Journal of Social Psychology
"Agustin, S.",The American Journal of Sociology
"Agustin, S.",Journal of Adolescent Health
"Agustin, S.",American Educational Research Journal
"Agustin, S.",Demography
"Agustin, S.",Annual Review of Sociology
"Agustin, S.",Social Biology
"Agustin, S.",Social Biology
"Agustin, S.",Social Science Research
"Agustin, S.",Journal of Youth and Adolescence
"Agustin, S.",Sociology of Education
"Agustin, S.",Psychology in the Schools
"Agustin, S.",American Sociological Review
"Agustin, S.",Journal of Biosocial Science
"Agustin, S.",Journal of Marriage and Family
"Agustin, S.",Economic Inquiry
"Agustin, S.",Social Science Research
"Agustin, S.",American Educational Research Journal
"Agustin, S.",Developmental Psychology
"Agustin, S.",Journal of the American Statistical Association
"Agustin, S.",The Journal of Psychology
"Agustin, S.",Reclaiming Children and Youth
"Agustin, S.",Annual Review of Sociology
"Agustin, S.", Sociology of Education
"Agustin, S.",Social Science Quarterly
"Agustin, S.",American Sociological Review
"Agustin, S.",Principal Leadership
"Agustin, S.",Social Psychology Quarterly
"Agustin, S.",American Educational Research Journal
"Agustin, S.",American Sociological Review
"Agustin, S.",Educational Evaluation and Policy Analysis
"Agustin, S.",Intelligence
"Agustin, S.",Social Forces
"Agustin, S.",American Sociological Review
"Agustin, S.",Social Forces
"Agustin, S.",Journal of Family and Economic Issues
"Agustin, S.",American Sociological Review
"Agustin, S.",Educational Evolution and Policy Analysis
"Agustin, S.",American Educational Research Journal
"Agustin, S.",Developmental Psychology
"Agustin, S.",American Psychologist
"Agustin, S.",American Psychologist
"Agustin, S.",Housing Policy Debate
"Agustin, S.",North Carolina Law Review
"Agustin, S.",Review of Educational Research
"Agustin, S.",American Educational Research Journal
"Agustin, S.",Journal of Youth and Adolescence
"Agustin, S.",Exceptional Children
"Agustin, S.",Social Forces
"Agustin, S.",Preventing School Failure
"Agustin, S.",Annual Review of Sociology
"Agustin, S.",American Journal of Sociology
"Agustin, S.",American Sociological Review
"Agustin, S.",Annual Review of Sociology
"Agustin, S.",Preventing School Failure
"Agustin, S.",Review of Educational Research
"Agustin, S.",American Sociological Review
"Agustin, S.",American Sociological Review
"Agustin, S.",American Sociological Review
"Agustin, S.",Annual Review of Sociology
"Agustin, S.",Review of Educational Research
"Agustin, S.",Social Biology
"Agustin, S.",American Sociological Review
"Agustin, S.",Adolescence
"Agustin, S.",Kalamazoo
"Agustin, S.",Social Science Quarterly
"Agustin, S.",Teachers College Record
"Agustin, S.",Journal of Social Issues
"Agustin, S.",Journal of Adolescence
"Agustin, S.",Economic Development and Cultural Change
"Agustin, S.",Science
"Agustin, S.",The American Psychologist
"Agustin, S.",Psychological Review
"Alcantara, A.",Bulletin of the World Health Organization
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Philippine Population Journal
"Alcantara, A.",Population and Development Review
