Author	Year	Title	Publication Type
X	X	Maternal mortality in 2000: Estiamtes developed by WHo, UNICEF and UNFPA	Online
X	1993	Strengthening midwifery	Journal Article
Acuin, C. S., Bais, A. C., Javellana, J., & Barzaga, D. J.	1995	The role of traditional practitioners in the delivery of health care	Monograph
Allan Guttmacher Institute	2002	Women and societies benefit when childbearing is planned	Monograph
Ashford, L.	2002	Hidden suffering: Disabilities from pregnancy and childbirth in less developed countries	Online
Asian Development Bank	X	Gender and development: Weaving a balanced tapestry	X
Baltazar, J. C., & Sanile, O. P.	1989	The health status of Filipina women today and risks to their reproductive gealth	Monograph
Bulatao, R. A., & Ross, J. A.	2003	Which health services reduce maternal mortality? Evidence from ratings of maternal health services	Journal Article
Cabigon, J. V.	X	Use of health services by Filipino women during childbearing episodes	Monograph
Carlough, M.	1997	More than hospitals are needed in Nepal	Jornal Article
Chakraborty, N., Islam, M. A., Chowdury, R. I., Bari, W., & Akhter, H. H.	2003	Determinants of the use of maternal health services in rural Bangladesh	Monograph
Cham, M., Sundby, J., & Vangen, S.	2005	Maternal mortality in the rural Gambia, a qualitative study on access to emergency obstetric care	Online
Chowdury, R. I., Islam, M. A.,  H.A. Halida, H. A., & Nital, C.	2004	Analysis of postpartum complications in relation to the selected delivery characteristics in rural Bangladesh	Journal Article
Collymore, Y.	2003	Improving emergency care to end maternal deaths	X
Creel, L. C., & Perry, R. J.	2003	Improving the quality of reproductive health care for young Ppeople	Online
Department of Health	1997	Barangay health workers' training on maternal and child health	X
DHS+ Dimensions	2000	Selected statistics from DHS surveys	Newsletter
Faghihzadeh, S., Rochee, B. G., Lmyian, M., Mansourian, F., & Rezasoltani, P.	2003	Factors associated with unwanted pregnancy	Journal Article
Fathalla, M.	1987	The long road to maternal death	Journal Article
Freedman, L. P., & Maine, D.	1993	Women's mortality: A legacy of neglect	X
Henderson, J. W.	1994	The cost effectiveness of prenatal Care	X
International Family Planning Perspectives	2001	Obstetric complications common in West Africa, despite accessible care	Online
International Family Planning Perspectives	2003	Unintended pregnancy is linked to inadequate prenatal care, but not to unattended delivery or child Health	X
Jhpiego	2003	Shaping policy for maternal and newborn health: A compendium of case studies	Online
Jimeno, J. A.	1977	Maternal and child care practices of women in Bohol province. Bohol Province Maternal and Child Health, Family Planning Project	Research
Katoanga, S. F.	X	Improving the quality of health care in reproductive health	Online
Kost, K., Landry, D. J., & Darroch, J. E.	1998	Predicting maternal behaviors during pregnancy: Does intention status matter?	Journal Article
