Author	Year	Title	Publication Type
Aldaba, F., Lanzona, L., & Tamangan, R.	2004	An empirical analysis on the trade-off between schooling and child Labor in the Philippines.	Journal Article 
Arat, Z.	2002	Analyzing child labor as a human rights issue: it's causes, aggravating policies, and alternative proposals.	Journal Article
Asia and the Pacific Programme of Educational innovation for Development, & UNESCO	1987	Coping with drop-out: a handbook.	Monograph
Becker, G.	1981	A treatise of the family.	Monograph
Becker, G., & Lewis, H.	1973	On the interaction between the quantity and  quality of children.	Journal Article
Bureau of Labor and Employment Statistics	2009	2009 Yearbook of labor statistics.	Monograph
Cabezas, S., & Quiring, M.	2005	Which households have child laborers? household characteristics and incidence of child labor in the Philippines.	Thesis
Cabigon, J.	1990	Philippine mortality in changing times.	Dissertation
Dar, A.	2002	Participation of children in schooling and labor activities: A review of emperical studies.	Monograph
Del Rosario, R., & Bonga, M.	2000	Child labor in the Philippines: a review of selected studies and policy papers.	Monograph
Department of Education	2009	Department of Education Basic Education Fact Sheet.	Online
Department of Education	2010	Department of Education Region 8 Performance Indicators.	Online
Dostle, B., & Jayaraman, R.	2003	Determinants of school attendance in Indian  villages: Do contextual matters?	Paper
Fafchamps, M., & Wahba, J.	2006	Child labor, urban proximity and household composition.	Discussion Paper
Institute for Labor Studies	1994	Comprehensive study on child labor in the Phillipines.	Monograph
International Labor Office	2004	Child labor: a textbook for university student.	Monograph
Khan, M.	X	The importance of education.	Online
King, E., & Lillard, L.	1983	Determinants of schooling attainment and enrollment rates in the Philippines.	X
Le Roux, J.	1996	The worldwide phenomenon of street children: conceptual analysis.	Online
Le, T.	2008	Determinants of dropping out of school: the case of Vietnam.	Thesis
Mangaran, R.	1994	Factors related to drop out in public and private general high schools in Bulacan.	 Thesis
Maligalig, D., & Albert, J.	2008	Measure for assessing basic education in the Philippines.	Discussion Paper
National Statistics Office Philippines	2005	2003 Functional literacy, education and mass media survey final report.	Report.
National Statistics Office Philippines	2007	January 2007 Labor Force Survey Enumerator's Manual.	Manual Manila
Niime, K.	2008	Education: the right response to child labor.	Journal Article
Orbeta, A.	2000	Macroeconomic policy change and joint schooling and labor participation decision of children 10-24 years old.	Research Paper
Orbeta, A.	2006	Number of children and their education in the Phiiippines.	Discussion Paper
Paderanga, N.	1993	A proposed guidance intervention program based on a study of dropouts in Iligan City Northeast I District, school year 1991-1992.	Thesis
Pedrosa, P. 	1961	Understanding our out-of-school children.	Monograph
Petilo. R. 	2006	Dropout reduction management strategies in public high schools.	Thesis
Pitriyan, P.	2006	The impact of child's education on child labor: The case of Indonesia.	Working Paper
Robles-Vasquez, H., & David, G.	2000	adjustment: Education and economic labor force participation by Mexican children during structural adjustment: A microeconomic analysis.	Working Paper
Sackey, H. 	2007	Determinants.of school attendance and attainment in Ghana: A gender perspective.	Paper
Sakellariou, C.	2004	Child labor and schooling in the Philippines.	Monograph
Sisante, J. 	2008	Poverty, hunger prevent Filipino kids from getting basic education.	Online
Sumagaysay, M.	1992	An in-depth situational analysis on the incidence of child labor in Region VIII.	Monograph
Sumagaysay, M.	2003	Emerging issues and concerns on the working youth of Eastern Visayas.	Monograph
Tansel, A.	1997	Schooling attainment, parental education and gender in Cote d' Ivoire and Ghana.	Journal Article
Tharmmapornphilas, R.	X	Determinants of child labor in Thailand.	Online 
Tilak, J.	1989	Female schooling in East Asia: a review of growth, problems and possible determinants.	Paper
UNESCO Institute for Statistics	2005	Children out of school: Measuring exclusion from primary education.	Monograph
UNICEF	2011	Definition of child labor.	Online
US Department of Labor	2009	US Department of Labor's 2008 findings on the worst forms of child labor.	Online
Villamil, W.	2002	Improving labor standards in the Phillippines: the case of child labor.	X
X	2003	Out-of-school children and youth in the Philippines: Issues and opportunities.	Report
