Author	Year	Title	Publication Type
Abad, R.	2002	Religion in the Philippines.	Paper
Abad, R.	1995	Varieties of Filipino religiosity.	Paper
Abad, R.	1994	What do Filipinos associate with religiosity?	Journal Article
Abad, R.	1994	Filipino religiosity: some international comparisons.	Journal Article
Allport, G.	1954	The individual and his religion.	Monograph
Aranda, M.	2008	Relationship between religious involvement and psychological well-being: A social justice perspective.	Journal Article
Arcury, T., Quandt, S., McDonald, I., & Bell, R.	2000	Faith and health self-management of rural older adults.	Journal Article
Ardelt, M., & Koenig, C.	2007	The importance of religious orientation and purpose in life for dying well: Evidence from three case studies.	Journal Article
Armstrong, T., & Crowther, M.	2002	Spirituality among older African Americans.	Journal Article
Arroyo, D.	1992	The demographic patterns of religiosity.	Journal Article
Asis, M.	2004	Safety net for all time.	Online
Atchley, R.	1997	Everyday mysticism: spiritual development in later life.	Journal Article
Balajadia, B.	1978	Religion, society and the Filipino: readings.	Compilation.
Beit-Hallahmi, B., & Argyle, M.	1997	The psychology of religious behavior, belief and experience.	Monograph
Benjamins, M., & Buck, A.	2008	Religion: a sociocultural predictor of health behaviors in Mexico.	Journal Article
Bennet, K.	2005	Social engagement as a longitudinal predictor of objective and subjective health.	Journal Article
Berkman, L., Glass, T., Brissette, L., & Seeman, T.	2000	From social integration to health: Durkheim in the new millennium.	Journal Article
Berger, P.	1967	The sacred canopy : elements of a sociological theory of religion.	Monograph
Benjamins, M., Musick, M., Gold, D., & George, L.	2003	Age-related declines in activity level: The relationship between chronic illness and religious activities.	Journal Article
Blazer, D., & Palmore, E.	1975	Religion and aging in a longitudinal panel.	Journal Article 
Braam, A., Van Den Eeden, P., Prince, M., Beekman, A., Kivela, S., Lawlor, B., et al.	2001	Religion as a cross-cultural determinant of depression in elderly Europeans: Results from the EURODEP collaboration.	Journal Article
Braam, A., Deeg, D., Poppelaars, J., Beekman, A., & van Tilburg, W.	2007	Prayer and depressive symptoms in a period of secularization: Patterns among older adults in the Netherlands.	Journal Article
Brown, P., & Tierney, B.	2008	Religion and subjective well-being among the elderly in China.	Journal Article
Cacho, A.	2007	Symbolism in religion: Ricoeurian Hermeneutics and Filipino philosophy of Religion.	Journal Article
Camfield, L., & Skevington, S.	2008	On subjective well-being and quality of life.	Journal Article
Campbell, A., & Musick, M.	2004	Religious activity andfunctional health status: Evidence from the Americans' Changing Lives Survey.	Paper 
CBCP News website. Only 10 percent of Catholics go to church-bishop.	Online
Charmaz, K.	2000	Grounded Theory: Objectivist and Constructivist Methods.	Monograph
Chen, C.	2001	Aging and life satisfaction.	Journal Article
Chen, Z., & Davey, G.	2008	Normative life satisfaction in Chinese societies.	Journal Article
Chongson, M.	2000	Pasyon and Holy Week: a study of music, acculturation, and local Catholicism in the Philippines.	Dissertation
Clark, A., & Lelkes, O.	2009	Religious interactions in life satisfaction.	Working Paper
Cohen, A., & Koenig, H.	2003	Religion, religiosity and spirituality in the bio psychosocial model of health and aging.	Journal Article
Coke, M.	1992	Correlates of life satisfaction among elderly African Americans.	Journal Article
Coleman, P., et al.	2004	Religious attitudes among British older people: Stability and change in a 20-yr longitudinal study.	Journal Article
Coleman, P.	2005	Spirituality and ageing: The health implications of religious belief and practice.	Journal Article
Collins, A., Goldman, N., & Rodriguez, G.	2007	Are life satisfaction and optimism protective of health among older adults?	Working Paper
