Agresti, A.
Finlay, B.
Arellano, M.
Assave, A.
Balk, D.
Raymundo, C.
Bongaarts, J.
Bumpass, L.
Lu, H.
Bumpass, L.
Rindfuss, R.
Palmore, C.
Concepcion, M.
Chui, B.
Castro, L.
Cabigon, J.
Cabigon, J.
Cabigon, J.
Cabigon, J.
Cabigon, J.
Hufana, L.
Cherlin, A.
Cherlin, A.
Coale, A.
Tye, C.
Concepcion, M.
Flieger, W.
Pascual, E.
Stinner, W.
Concepcion, M.
Davis, K.
Davis K.
Blake, J.
Deano, A. M.
De Guzman, E.
De Guzman, E.
De Guzman, E.
De Guzman, E.
Edin, K.
Reed, J
Ermisch, J.
Feng, W.
Quanhe, Y.
Fricke, T.
Teachman, J.
Gonzales, M.
Goode, W.
Hirschman, C.
Rindfuss, R.
Kabamalan, M.
Laurel, C.
Marquez, M.
Gaiban, G.
Marini, M.
Medina, B.
Morgan S.
Rindfuss, R.
Mensch, B.
Singh, S.
Casterline
National Statistics Office
United States Agency for International Development
ORC Macro International.
National Statistics Office
National Statistics Office
ICE Macro 
Natividad, J.
Marquez, M. 
Nguyen, L.
Ogena, N.
Ogena, N.
Kabamalan, M.
Sasota, R.
Oppenheimer, V.
Oppenheimer, V.
Oppenheimer, V.
Oppenheimer, V.
Kalmjin, M.
Lim, N.
Paganini, D.
Rindfuss, R.
Panopio, I.
MacDonald, F.
Raymundo, A.
Raymundo, C.
Raymundo, C.
Retherford, R.
Choe, M.
Rindfuss, R.
St. John, C.
Rindfuss, R.
Morgan, P.
Schoen, R.
Landale, N.
Singh, S.
Samara, R.Smith, P.
Daniels, K.
Steele, F.
Joshi, H.
Kallis, C.
Goldstein, H.
Stinner, W.
Stockard, J.
Gray, J.
O'Brien, R.
Stone, J.
Teachman, J.
Tsuya, N. 
Upchurch, D.
Lillard, L.
Panis, C.
Van de Kaa, D.
Ventura, S.
Bachrach, C.
Weston, C.
Williams, L.
Kabamalan, M.
Ogena, N.
Willis, R.
Zablan. Z.
