Author	Year	Title	Publication Type
Agresti, A. & Finlay, B.	1997	Statistical methods for the social sciences. (3rd ed.).	Monograph
Arellano, M.	2008	The changing patterns and determinants of adolescent pregnancy in the Philippines.	Thesis
Assave, A.	2003	The impact of economic resources on premarital childbearing and subsequent marriage among young American women.	Journal Article 
Balk, D., & Raymundo, C.	1999	Childbearing.	Monograph
Bongaarts, J.	1978	A framework for analyzing the proximate determinants of fertility.	Journal Article
Bumpass, L., & Lu, H.	2000	Trends in cohabitation and implications for children's family contexts in the United States.	Journal Article
Bumpass, L., Rindfuss, R., Palmore, C., Concepcion, M., & Chui, B.	1982	Intermediate variables and educational differentials in fertility in Korea and the Philippines.	X
Castro, L.	2008	Are marriage patterns of Pinoys changing?	Online]
Cabigon, J.	1983	Trends and differentials in fertility.	Monograph
Cabigon, J.	1984	Determinants of the timing of births in the Philippines.	Monograph
Cabigon, J.	1985	Socioeconomic and cultural determinants of the timing of first birth.	Survey
Cabigon, J.	2006	Revisiting birth spacing in the Philippines.	X
Cabigon, J., & Hufana, L.	1984	Determinants of age at first birth.	Monograph
Cherlin, A.	2000	Toward a new home economics of union formation.	Monograph
Cherlin, A.	2005	American marriage in the early twenty-first century.	Journal Article
Coale, A. & Tye, C.	1961	The significance of age patterns of fertility in high fertility populations.	Journal Article
Concepcion, M., Flieger, W., Pascual, E., & Stinner, W.	1975	The childbearing patterns of young Filipino women.	Monograph
Concepcion, M.	1980	Changing fertility in the Philippines: when, how, why.	Unpublished
Davis, K.	1963	The theory of change and response in modern demographic history.	Journal Articl
Davis K., & Blake, J.	1956	Social structure and fertility: an analytical framework.	Journal Article
Deano, A. M.	1985	Socio-economic, cultural and attitudinal determinants of female marriage timing.	Thesis
De Guzman, E.	1977	Components of growth.	Monograph
De Guzman, E.	1983	Trends and differentials in fertility.	Monograph
De Guzman, E.	1984	Determinants of nuptiality in the Philippines: some new findings.	Monograph
De Guzman, E.	1997	X	Paper
Edin, K. & Reed, J.	2005	Why don't they just get married?: barriers to marriage among the disadvantaged.	Journal Article
Ermisch, J.	2006	An economic history of bastardy in England and Wales.	Working Paper
Feng, W., & Quanhe, Y.	1996	Age at marriage and the first birth interval: the emerging change in sexual behavior among young couples in China.	Journal Article
Fricke, T., & Teachman, J.	1993	Writing the names: marriage style, living arrangements, and first birth interval in a Nepali society.	Journal Article
Gonzales, M.	1978	The Impact of changes in marriage patterns on fertility in the Philippines.	Monograph
Goode, W.	1963	World revolution and family patterns.	Monograph
Hirschman, C., & Rindfuss, R.	1982	The sequence and timing of family formation events in Asia.	Journal Article
Kabamalan, M.	2004	New path to marriage: the significance of increasing cohabitation in the Philippines.	Journal Article
Laurel, C.	2001	Marriage perspectives of Filipino single women.	Thesis
Marquez, M. & Gaiban, G.	2004	Getting hotter, getting wilder? changes in sexual risk-taking behavior among Filipino youth.	Working Paper
Marini, M.	1984	Age and sequencing norms in the transition to adulthood.	Journal Article
Medina, B.	2001	The Filipino family. (2nd ed.).	Monograph
Morgan S., & Rindfuss, R.	1999	Reexamining the link of early childbearing to marriage and to subsequent fertility.	Journal Article
Mensch, B., Singh, S., & Casterline	2005	Trends in the timing of first marriage among men and women in the developing world.	Online 
National Statistics Office, United States Agency for International Development, & ORC Macro International	1999	National Demographic and Health Survey 2003.	Survey
National Statistics Office	2003	Vital statistics report 2003.	Report 
National Statistics Office, & ICE Macro	2009	National Demographic and Health Survey 2008.	Survey
