Author	Year	Title	Publication Type
Andrews, F. M., & Whithey S. B.	1976	Social indicators of well-being: Americas perception of life quality.	Monograph
Arber, S., & Cooper, H.	1999	Gender differences in health in later life: the new paradox?	Journal Article
Atienza, M. E., Beria, C. L., Cabilo, Z. M., Baviera, M. Y., & Delias, D. M.	2010	Developing a human security index for the Philippines. An exploratory study in selected conflict areas.	Monograph
Balachandran, M., Raakhee A. S., & Sam Sananda Raj, H.	2007	Life satisfaction and alienation of elderly males and females.	Journal Article
Bastes, M. M.	1995	Dependency in old age: gains and Losses.	Journal Article
Baltes M. M. and Carstensen L. L.	1999	Social-psychological theories and their application to aging: from individual to collective.	Monograph
Barrett A. E.	1999	Social support and life satisfaction among the never married: examining the effects of age.	Journal Article
Berg, A. I.	X	 Life satisfaction in late life: Markers and predictors of level and change among 80+ year olds.	Monograph
Birren, J. E., & Schroots, J. F.	2001	The history of geropsychology.	Monograph
Blazer, D., Hughes, D. C., & George, L. K.	1992	Age and impaired subjective support. Predictors of depressive symptoms at one-year follow-up.	Journal Article
Booysen, F.	2002	An overview and evaluation of composite indices of development.	Online
Bowling, A. Banister, D., Sutton, S. Evans, O., & Windsor, I.	2002	A multidimensional model of quality of life in older age.	Journal Article
Butler, R. N. 	1969	Age-ism: Another form of bigotry.	Journal Article
Bytheway, B.	1995	Ageism.	Monograph
Campbell, A., Converse, P.E., & Rodgers, W. L.	1976	The quality of American life.	Monograph
Carlos, C.	1999	Concerns of the Elderly in the Philippines.	Journal Article
Cohen, S., Gottlieb, B. H., & Underwood, L. G.	2001	Social relationships and health: challenges for measurement and intervention.	Journal Article 
Costa P. T., & McCrae R. R.	1980	Influence of extraversion and neuroticism on subjective well-being: Happy and unhappy people.	Journal Article
Cruz, G. T.	1999	Economic well-being of the Filipino elderly.	Journal Article
Cruz G. T., Saito Y. & Natividad J. N.	2007	Active life expectancy and functional health transition among Filipino older people.	Journal Article
Cruz G. T. & Laguna, E.	2009	Overseas labor migration and well-being of older Filipinos in older persons in Southeast Asia an emerging asset.	Monograph
Cruz, G., & Lavares, M.	2009	International migration, remittances, and the well-being of older Filipinos.	Paper
Cruz, G., Abalos, J., Lavares, M., Natividad, J., & Saito, Y.	2009	Changing social structures and the wellbeing of the older Filipinos.	Paper
Cumming, E., & Henry, W. E., & Damianopoulos	1961	A formal statement of disengagement theory.	Monograph
De La Vega, S. A.	2005	Improving the quality of life of Filipino older persons.	Convention Paper
Depp, C. A. & Jeste D. V.	2006	Definitions and predictors of successful aging: a comprehensive review of larger quantitative studies.	Journal Article
Diener, E.	1984	Subjective well-being.	Journal Article
Diener, E. 	1994	Assessing subjective well-being: progress and opportunities.	Journal Article
Diener, E.	2000	Subjective well-being: The science of happiness, and a proposal for a national index.	Journal Article
Diener, E and Diener C.	X	 Most people are happy.	Journal Article
Diener, E., Gohm, C. L., Suh, E., & Oishi, S.	2000	Similarity of the relations between marital status and subjective well-being across cultures.	Journal Article
Diener, E. , Emmons R., Larsen, R., & Griffin S.	1983	The satisfaction with life scale.	Manuscript
Diener, E. Suh, E. & Oishi S.	1997	Recent findings on subjective well-being.	Journal Article
Due, P., Holstein, B., Lund, R., Modvig, J., & Avlund, K.	1999	Social relations: network, support and relational strain.	Journal Article
Eid, M., & Diener, E.	2004	Global judgments of subjective well-being: Situational variability and long-term stability.	Journal Article
Ellison, C. G., Boardman, J. D., Williams, D. R. & Jackson J. S.	2001	Religious involvement, stress, and mental health.	Journal Article 
Doyle D. P. and Forehand M. J.	1984	Life satisfaction and old age: a reexamination.	Journal Article
George, L. K., Okun, M. A., & Landerman, R.	1985	Age as moderator of the determinants of life satisfaction.	Journal Article
Gold, C. H., Malmberg, B., McClearn, G. E., Pedersen, N. L., & Berg, S.	2002	Gender and health: a study of older unlike-sex twins.	Journal Article
Hagerty, M. and Land, K.	2007	Constructing summary indices of quality of life a model for the effect of heterogeneous importance weights.	Journal Article
Hamashima, C.	1994	The quality of life in aged people.	Journal Article
Havighurst, R. J.	1961	Successful aging.	Journal Article
Hobbs, F., Damon, B. L., & Taeuber, C. M.	996	65+ in the United States.	Monograph
Holstein, M. & Minkler, M.	2003	Self, society and the new gerontology.	Journal Article
Kannisto, V.	1994	Development of oldest-old Mortality, 1950-1990: Evidence from 28 Developed Countries.	Monograph
Kannisto, V. Lauritsen, J., Thatcher A.R. & Vaupel J. W.	1994	Reductions in mortality at advanced ages: several decades of evidence from 27 countries.	Journal Article
Katz S., Branch, L. G., Branson, M. H., Papsidero, I. A., Beck, I. C., & Greer, D. S.	1983	Active life expectancy.	Journal Article
Kern M. L. & Friedman, H. S.	2010	Why do some people thrive while others succumb to disease and stagnation? Personality, social relations, and resilience.	Monograph
Kessler, E. M., & Staudinger, U. M.	2010	Fmotional resilience and beyond: a synthesis of find ings from lifespan psychology and psychopathology.	Monograph
Kim, J., Kim, E. & Lee, Y.	2005	Elderly living arrangements and life satisfaction in Korea.	Paper
Kirby, S. E., Coleman, P. G., & Daley, D.	2004	Spirituality and well-being in frail and non-frail older adults.	Journal Article
Lang, F. R., & Carstensen, L. L.	1994	Close emotional relationships in late life: further support for proactive aging in the social domain.	Journal Article
Lansford, J. E., Sherman, A. M., & Antonucci, T. C.	1998	Satisfaction with social networks: an examination ofsocioemotional selectivity theory across cohorts.	Journal Article
Larsen, R. J.	1983	Manual for affect intensity measure.	Unpublished Manuscript,
Lavares-Gonzales	2011	 A.M. religiosity and life satisfaction of the Filipino elderly: a sociological investigation.	Thesis
Lavretsky H., Zheng, L., Weiner, M. W., Mungers, D., Reed, B., Kramer, J. H., Jagust, W., Chui, H., & Mack, W. J.	2010	Association of depressed mood and mortality in older adults with and without cognitive impairment in a prospective naturalistic study.	Journal Article
Lawton, M. P.	1975	The Philadelphia Geriatric Center morale scale, a revision.	Journal Article
Lee H. A.	X	Pilot Study on the living alone, socio-economically deprived older Chinese people's self-reported sucessful aging: a case of Hongkong.	Journal Article
Lemon, B. W. Bengston, V. L., & Peterson, J. A.	1972	An exploration of activity theory of aging: Activity types and life satisfaction among in-movers to a retirement community.	Journal Article
Lucas, R. E., & Donnellan, M. B.	2007	How stable is happiness? using the STARTS Model to estimate the stability of life satisfaction.	Journal Article
Mangahas, M., & Guererro L. L.	2002	Self-sustained quality of life monitoringzthe Philippine social weather reports.	Journal Article 
Markides, K. S., & Martin, H. W.	1979	Predicting self-related health among the aged. 	Journal Article
Mather, M., & Carstensen	2005	Aging and motivated cognition: the positivity effect in attention and memory.	Journal Article
Meléndez J. C., Tomas J. M., Oliver A., & Navarro, E.	2009	Psychological and physical dimensions explaining life satisfaction among the elderly: a structural model examination.	Journal Article
Menec, V. H.	2003	The relation between everyday activities and successful aging: a 6-year. longitudinal study.	Journal Article
Minichiello, V. & Coulson	2005	Contemporary issues in gerontology: promoting positive ageing.	Monograph
