Author	Year	Title	Publication Type
Akin, M.	2005	Education and fertility: a panel data analysis for Middle Eastern countries.	Monograph
Akman, W.	2002	Women's education and fertility rates in developing countries, with special reference to Bangladesh.	Journal Article
Anker, R.	1978	 An analysis of fertility differentials in developing countries.	Journal Article
Assunao, R., Schmertmann, C., Potter, J., & Cavenaghi, S.	2005	Empirical Bayes estimation of demographic schedules for small areas.	Journal Article
Bartlema, J., Chackiel, I., Hill, K., Soliz, A., & Isaacs, M.	1985	Fertility and mortality in Bolivia and Guatemala.	Monograph
Bindary, A., Baxter, C., & Hollingsworth, T.	1973	Urban-rural differences in the relationship between women's employment and fertility: a preliminary study.	Journal Article
Blake, J.	1979	Is zero preferred: American attitudes toward childlessness in the 1979's.	Journal Article
Bongaarts, J.	1983	Fertility behaviour: an analysis of the proximate determinants.	Monograph
Bongaarts, J.	2006	The causes of stalling fertility transitions.	X
Bongaarts, J., & Bulatao, R.	2000	Beyond six billion: forecasting the world's population.	Monograph
Bongaarts, J., & Watkins, S.	1996	Social interactions and contemporary fertility transitions.	Journal Article
Brass, W.	1975	Methods for estimating fertility and mortality from limted and defective data.	Monograph
Brass, W., & Jolly, C.	1993	Population dynamics of Kenya.	Monograph
Brewster, K., & Rindfuss, R.	2000	Fertility and women's employment in industrialized Nations.	Journal Article
Brown, R., & Caire, N.	2001	Theories of fertility.	Report
Coale, A. & Watkins, S.	1986	The decline of fertility in Europe.	Monograph
Cochrane, S.	1979	Fertility and education: what do we really know?	Monograph
Cohen, B.	1993	Fertility levels, differentials, and trends in demographic change in Sub-Saharan Africa.	Monograph
Cruz, C.	2008	Phillippines fertilify transition: application of the Bongaarts Model.	Thesis
Davis, K., & Judith, B.	1956	Social structure and fertility: an analytic framework.	Journal Article
Department of Health Service. Ministry of Health and Education. Royal Government of Bhutan	2000	A Report: National Health Survey.	Report
Dissanayake, L.	1996	Relative impact of starting spacing and stopping fertility behaviour in Sri Lanka.	Journal Article
Doepke, M.	2004	Child mortality and fertility decline: does the Barro-Becker model fit the facts?	Monograph
Dorji, T.	2010	Infant and child mortality in Bhutan.	Thesis
El-Ghannam, A.	2005	An examinaton of factors affecting fertility rate differentials as compared among women in less and more developed countries.	Journal Article
El-Shalakani, M.	1989	Estimation of fertility and mortality of the Kuwaiti population.	Journal Article
Farooq, G., & DeGraff, D.	1988	Fertility and development: an introduction to theory, emprical research and policy issues.	Monograph.
Feeney, G.	1996	A new interpretation of Brass' P/F Ratio Method applicable when fertility is declining.	Online
