Author	Year	Title	Publication Type
Agree, E., Biddlecom, A., & Valente, T.	1999	Multi-generational exchanges in Taiwan and the Philippines: A social network approach. Population Center Papers on Population Working Paper No. 99-06	X
Agree, E., Biddlecom, A., Chang, M., & Perez, A	1998	Generalized exchange and intergenerational transfers in Taiwanese and Filipino families.  Hopkins Population Center Papers on Population, Working Paper No. 98-06	X
Antonucci, T. C., Sherman, A., Akiyama, H.	1996	Social networks, support and integration	Monograph
Atchley, R.	1972	The social forces in later life: An introduction to social gerontology	Monograph
Atchley, R.	2000	Social forces and aging: An introduction to social gerontology	Monograph
Baltazar, J., Valencia, E., & Baquilod, M.	2002	Profile of Filipino older persons: An assessment of their health status, needs, access to and availability of care facilities and services	Research
Biddleoom, A., Chayovan, N., & Ofstedal, M.	2002	Intergenerational support and transfers	Monograph
Brown, A.	1990	The social processes of aging and old age	Monograph
Cabigon, J.	1983	Trends and differentials in fertility. Population of the Philippines: Current Perspectives and Future Prospects	X
Chang T.	1992	Implications of changing family structures on old-age support in the ESCAP Region.	Journal Article
Chen, C.	1999	Support network, informal support and in life satisfaction among the elderly in Taiwan	X
Cicerelli, V.	1990	Family support in relation to health problems	Monograph
Cruz, G.	2005	Health transitions among Filipino older people	Dissertation 
De Guzman, E., Go, E., & Yordan, E.	1994	Gender differentials in the Philippines	X
De Guzman, E., Magracia, M., & Zablan, Z.	1995	Mortality differentials in the Philippines	X
Domingo, L.	1989	The Filipino elderly: Issues and policy implications	Monograph
Domingo, L.	1989	The family and the welfare of the Filipino elderly	Monograph
Domingo, L., & de Asis, M.	1995	Living arrangements and the flow of support between generations in the Philippines	Journal Article
Domingo, L., Medina, B., & Domingo, M.	1994	The Filipino elderly: State of the nation reports	Report
Domingo, L., & Casterline, J.	1992	Living arrangements of the Filipino elderly	Journal Article
Domingo, L., & Feranil, I.	1987	The Filipino elderly: A review of literature and existing data	Monograph
Domingo, L., et. al.	1990	Assessment of the status of the Filipino elderly	X
Eu, H.	1992	Health status and social and demographic determinants of living arrangements among the Korean elderly	Journal Article
Feranil, I.	1990	The economic status and needs of the elderly	Monograph
Fonda, S., & Herzog, A.	2004	Documentation of physical functioning, measured in health and retirement study and the asset health dynamics among the oldest old	Monograph
Foner, A.	1986	Aging and old age: New perspectives	Monograph
Gorman, M.	2002	Sustainable social structures in a society for all ages: Exchanging experience between the developed and the developing world	Online
