Author	Year	Title	Publication Type
Abassi, N., & Ifran, M.	1986	Socio-economic effects in international migration on Pakistani families left behind	Monograph
Abrera-Mangahas, M.	1987	Filipino overseas migration: Focus on 1975-1986	X
Aganon, M.	1995	Migrant labor and the Filipino family	Monograph
Andres, T.	1989	Positive Filipino values	Monograph
Anunciason, R.	1997	The cost of migration	Journal Article
Arellano-Carandang, M.	1987	Filipino children under stress: Family dynamics and therapy	Journal Article
Asis, M.	1995	Overseas employment and social transformation in source communities: Findings from the Philippines	Journal Article
Battistella, G., & Conaco-Gastardo, M.	X	Impact of labor migration on the children left behind	Monograph
Battistella, G.	1992	Migration: Opportunity or loss?	Monograph
Bautista, M.	1985	Economic consequences of overseas employment	Journal Article
Beltran, R., et. al.	1996	Filipino women migrant workers: Effects on the family and challenges for intervention	Monograph
Choe, M. K., Hatmadji, S. H., et al.	2004	Substance use and premarital sex among adolescents in Indonesia, Nepal, the Philippines and Thailand	Journal Article
Cruz, V.	1987	Seasonal orphans and solo parents: The impact of overseas migration	X
Carino, B.	1987	Impacts of emigration in sending countries	Monograph
Carino, B.	1998	Filipinos on the move: Trends, dilemmas and policy options	Monograph
De Jong, G. F., & Fawcett, J. T.	1981	Motivation for migration: An assessment and a value-expectancy research model	Monograph
Gardner, R., & De Jong, G. F.	1981	Migration decision making: Multi-disciplinary approaches to macro level studies in developed and developing countries	Monograph
Go, E.	1985	A community level study	Journal Article
Go, E.	1993	Filipino family in the eighties	Monograph
Go, E.	2001	Internadonal labor migration and the Filipino family: Examining the social dimensions	Journal Article
Guerrero, S., & Ballescas, M.	1988	Filipino labor abroad: The impact of international labor migration	Journal Article
Hirsch, T.	1969	Causes of delinquency	Monograph
Hugo, G.	1995	International labor migration and the family: Some observations from Indonesia	Journal Article
Jampaklay, A.	2006	Evidence from a longitudinal study in Kanchanaburi, Thailand	X
Juco, E.	1984	To the Middle East with hope	X
Kandel, K.	2001	X	Journal Article
Lu, Y.	2006	The effect of labor migration and remittances on children's education among Blacks in South Africa	Research
Maccoby, E. E., & Martin, S.	1983	Socialization in the context of the family: Parent-child interaction	
Maccoby, E. E.	1992	The role of parents in the socialization of children: A historical overview	Journal Article
Massey, D., et. al.	1993	Theories of international migration	Journal Article
Opiniano, J.	2002	Migration and social development: Challenges to return migration and reintegration in the Philippines	X
Olimova, S., & Bose, I.	2003	Labor migration from Tajikistan	X
Papademetriou, D., & Martin, P.	1991	Labor migration and development: Research and policy issues	Monograph
Poster, M.	1978	Critical theory of the family	Monograph
Perez, A., & Patacsil, P.	1998	Philippine migration studies: An annotated bibliography	Monograph
Pertierra, R.	1992	Remittances and returnees: The cultural economy of migration in Ilocos	Monograph
Prigol, P. H.	X	The impact of migration on the Filipino family	Journal Article
Ramirez, M.	1987	The socio-cultural presuppositions of Filipino outmigration	Monograph
Retherford, R., & Choe, M.	1993	Statistical models for causal analysis	Monograph
Rutter, M.	1981	Maternal deprivation reassessed	Monograph
Siddiqui, A.	X	The economic and non-economic impact of labor migration from Bangladesh	Monograph
Torres, A.	1995	Rethinking the Filipino family	Monograph
Russell, S. S.	X	International migration: Implications for the World Bank	X
Shryock, H., et al.	1976	The methods and materials of Demography	Monograph
Soriano, M.	1996	Implications of labor migration: A focus on the Philippine experience	Journal Article
Sto. Tomas, P.	1984	Overseas employment in the Philippines: Policies and program	Monograph
Tan, E.	2000	Filipino overseas employment - an update	Discussion	
Vasquez, N.	1993	Economic and docial impact of labor migration	Journal Article
Yeoh, B., et. al.	2002	Migrants and family relation in the Asia Pacific Region	Journal Article
Zhao, H.	2004	Guanzhu nongcun 'liushou' zinv	Journal Article
Catholic Bishops Conference of the Philippines-Episcopal Commission on Migrants and Itinerant People	2002	The itinerant	X
Episcopal Commission for the Pastoral Care of Migrants and Itinerant People	X	Migration situationer and impact, biblical inspiration and pastoral challenges	X
X	Hearts apart: Migration in the eyes of Filipino children	2004		Monograph
World Bank	1995	World development report 1995: Workers in an integrating world	Monograph
X	2002	International migration: Facing the challenge	Journal Article
X	1999	Impact of migration on children	Journal Article
X	X	Impact of migration: A village study	Journal Article
Save the Children	2006	Left behind, left out: The impact on children and families of mothers migrating for work abroad	X
National Statistics Office	2002	Survey on overseas Filipinos	X
Institute of Labor and Manpower Studies	1984	Working abroad: The socio-economic consequences of contract labor migration in the Philippines	X
Martin, S.	2001	Global migration trends and asylum	Journal Article
X	X	X	Online
X	X	X	Online
X	X	X	Online
X	X	X	Online
