Author	Year	Title	Publication Type
Alcantara,  A. 	1994. 	Gender roles, fertility and the status of married Filipino men and women	Journal
Asian Population Studies	1976	Population asects of manpower and employment: A regional overview	X
Balisacan, A., & Hill, H. 	2002	Poverty and inequality	Monograph
Barclay, G.	1958	Techniques in population analysis	Monograph
Bauer, J.	1990	Demographic Change and Asian labor markets	Journal Article
Bisgrove, E., & Viswanathan, M.	1997	Framework for the analysis of the impact of family planning on women's work and income	Working Paper
Caldwell, J., & Caldwell, P.	1986	X	Journal Article	
Castillo, G.	1981	The Filipino woman: Wife, mother, worker and citizen. 	X
De Guzman, E., Go, E., & Yordan, E.	1994	Gender differentials in the Philippine analysis of the 1990 Population Census	Seminar Publication
Denton, F. T., & Ostry, S.	1969	Working life table for Canadian males	Monograph
Darand, J. D.	1948	The labor force in the United States, 1890-1960	Monograph
Eviota, E.	1992	The political economy  of gender: Women and the sexual division of labor in the Philippines.	Monograph
Farooq, G. M.	1981	Population, labor force and employment: Concepts, trends and policy issue.	X
Flieger, W., & Cabigon, J.	1994	Life table estimates for the Philippines, its regions and provinces, by sex: 1970, 1980, and 1990.	Monograph
Fullerton, H. N.	1972	A new type of working life table for men.	Journal Article
Garfinkle, S.	1955	Changes in working life of men 1900-2000.	Journal Article
Gnasekharan, K. S.	1960	Increasing length of working life.	Journal Article
Haines, M.	1979	Fertility and occupation: Population patterns in industrialization.	Book
Herrin, A., & Pernia, E.	2002	Population, human resource and employment.	Book 
Hussmanns, R., et al.	1990	Survey on economically active population, employment, unemployment and underemployment: An ILO Manual on concepts and methods	X
Jaffe, A. J. & Stewart, C.	1951	Manpower resources and utilization: Principles of working force analysis.	Book
Joint Economic Committee of the US.	1989	Economic implication of demographic change in the United Nations.	Journal Article
Kanako, T.	1969	 An abridged working life table for Japanese males: 1965.	Journal Article
Kono, S.	1963	Abridged working life for Japanese males: 1930, 1950, 1955.	Journal  
Kpedepko, K.	1969	On working life tables in Ghana with particular reference to female working population.	Journal Article  
Kpedepko, K.	1969	Working life tables for males in Ghana, 1960.	Journal 
Kupinsky, S.	1977	The fertilility of working women in the United States: Historical trends and theoretical perspectives.	Book 
Morada, H. B., & Kim, Y.	n.d.	Labor force projections by age and sex for the Philippines: 1970-2000.	Monograph 
National Statistics Office.	n.d.	Census of Population and Housing, 1970, 1980, 1990 and 1995.	X
Nazaret, F., et al.	1977	Working life tables for males and females in the Philippines: 1970.	Monograph
Joint Economic Committee of the US.	1989	Economic implication of demographic change in the United Nations.	Journal Article
Ruzicka, L. T.	1973	Length of working life for Australian males: 1933-1966.	Journal  Article
Salleh, A.	1976	Mortality differences among racial communities in peninsular Malaysia and their implication on economically active life.	X
Salleh, A.	1981	Preliminary analysis on economically active life of male population of the Philippines: 1960 and 1970 using tables of working life.	X	
Seghal, J. M.	1986	 An introduction to techniques of population and labor force projections.	Monograph 
Takala, J.	2002	Introductory report: Decent work - safe work.	Report
United Nations	1968	Methods of analyzing census data on economic activities of the population.	Journal  Article
United Nations	1995	Program of Action of the 1994 International Conference on Population and Development.	Journal  Article
Weeks, J.	1989	Demography.	X
Wolfbein, S. L.	1949	The length of working life.	Journal Article 
Wool, H.	1950	Methods of constructing tables of working life for man.	Journal Article
Women Development Service	1994	National sectoral report on women, agriculture and rural development.	X 
Woytinsky, W. S.	1938	Median ages and expected period of work.	X
Adair, L., et. al.	1997	Exploring the complexity of women's lives: Family planning, children, decision-making, domestic work and labor force participation in Cebu, Philippines.	Online 
Adams, L. S., et. al.	1996	Effects of childbearing on Filipino women's labor force participation and earning.	Online 
Cabigon, J. V.	1990	Philippine mortality in changing times.	 Dissertation
Carman, B.	1995	X	Online
Domingo, L.	1984	Changing labor force in the Philippines	X 
Herrin, A., et al.	2000	Planning: A review of the ASEAN Population Programme's contribution to the integration of population and development planning.	Online 
Pillsburry, et. al.	2000	Women's empowerment and reproductive health: Labor force participation rate and employment.	Online 
X	2002	X	Online
X	X	X	Online
