Author	Year	Title	Publication Type
Abejo, S., Go, E., Cruz, G., & Marquez, M.	2006	2003 NDHS further analysis: contraceptive use, discontinuation, and switching behavior in the Philippines.	Monograph
Adongo, P., Phillips, J., & Bianka, F.	1998	The influence of traditional religion on fertility regulation among the Kassena-Nankana of Northern Ghana.	Journal Article
American Society for Reproductive Medicine	2003	Age and Fertility, A Guide for Patients.	Online
Appleton, S.	1995	Socio-Economic Factors, Fertility and Its Proximate Determinants in Cote d'ivoire.	X
Babycentre	2005	The Effects of Age on Fertility.	Online
Becker, G.	1981	A Treatise on the Family.	Monograph
Bernhard, M., & Uddin, M.	1990	Islam and family planning acceptance in Bangladesh.	Journal Article
Bertrand, J., Magnani, R., Hardee, K., & Angle, M.	1994	Access, quality of care, and medical barriers in international family planning programs.	Unpublished
Birdsall, N.	1985	The effects of family planning programs on fertility in the developing world.	Monograph
Boserup, E.	1985	Economic and demographic interrelationship in Sub-Saharan Africa.	Journal Article
Caldwell, J., Gaminiratne, K., Caldwell, P., De Silva, S., Caldwell, B., Weeraratne, N. and Silva, P.	1987	The role of traditional fertility regulation in Sri Lanka.	Journal Article
Caldwell, J., & Ware, H.	1973	The evolution of family planning in Australia.	Journal Article
Caldwell, J.	1981	Theory of fertility decline.	Monograph
Casterline, J., & Palabarica-Costello, M.	2002	Fertility decline in the Philippines: Current status, future prospects.	Monograph
Chamratrithirong, A., & Stephen, E.	1986	Determinants of contraceptive method choice in Thailand.	Monograph
Chaudhary, A.	1976	Some socio-economic birth rate with special variables affecting reference to female education in Pakistan.	Journal Article
Choe, M., & Park, I.	1989	Patterns and covariates of contraceptive method choice in the Republic of Korea.	Monograph
Choe, M., Zablan, Z., Gealogo R., & Kantner, A.	1993	Contraceptive use discontinuation in the Philippines: Components and covariates.	Monograph
Cochrane, S., & Guilkey, D.	1991	Fertility intentions and access to services as constraints on contraceptive use in Colombia.	X
Concepcion, M.	2003	Population: How and Why it Matters.	Online 
Coale, A., & Hoover, E.	1958	Population growth and economic development in low-income countries.	Monograph
Da Vanzo, J., Ann, R., & Othman, R.	1989	Determinants of contraceptive method choice in peninsular Malaysia, 1961-75.	Monograph
Davis K. & Blake J.	X	Social structure and fertility.	Journal Article
De Guzman, E.	1994	Fertility and mortality in the Philippines: Estimates from recent data.	Monograph 
Dreze, J., & Sen, A.	1994	India: Economic development and social opportunities.	X
Easterlin, R., & Crimmins, E.	1985	The fertility revolution: A demand supply analysis.	Monograph
Easterlin, R.	1980	Modernization and fertility: A Critical Essay.	Monograph
Economic Commission for Africa	1991	Implication of the apparent impact of Structural Adjustment Programme (SAP) on population.	Monograph
Ekouevi, K. & Adepolu, A.	1995	Adjustment, social sectors and demographic change in Sub-Saharan Africa.	Journal Article
ESCAP	1992	Family planning programmes in Asia and the Pacific: Implications for the 1990s.	Journal Article
Fapohunda, E., & Todaro, M.	1988	Family structure, implicit contacts and the demand for children in Southern Nigeria.	Journal Article
Feyisetan, B., & Ainsworth, M.	1996	Contraceptive use and the quality, price, and availability of family planning in Nigeria.	Journal Article
