Author	Year	Title	Publication Type
Ahmadi, A., & Iranmahboob, J.	2005	Unmet need for family planning in Iran.	Poster
Al-Jawadi, A. A., & Al-Bakry, D. H.	2010	Family planning unmet need profile in Mosul City, north of Iraq: A cross-sectional study.	Journal Article
Bhushan, I.	1997	Understanding unmet need.	Working Paper 
X	2009	Bhutanese use condoms for facials.	Online
Bizuneh, G., Shiferaw, S., & Melkamu, Y.	2008	Unmet need and evaluation of programme options to meet unmet need for contraception in Ethiopia, 2000 and 2005: Further analysis of the 2000 and 2005 Ethiopia Demographic and Health Surveys.	Monograph 
Boslaugh, S.	2007	Secondary data sourcesfor public health: a practical guide.	Monograph
Bradley, S. E. K., Croix, T. N., Fishel, J. D., & Westoff, C. F.	2012	Revising unmet need for family planning.	Monograph
Casterline, J. B., & Sinding, S. W.	2000	Unmet need for family planning in developing countries and implications for population policy.	Journal Article
Central Intelligence Agency	n. d.	The world factbook.	Online
Dine, G., Eser, E., Cihan, U. A., Ay, S., Pala, T., Ergor, G., & Ozcan, C.	2007	Fertility preferences, contraceptive behaviours and unmet need: A gap between urban and sub-urban parts of a city.	Journal Article
Dixon-Mueller, R., & Germain, A.	1992	Stalking the elusive "unmet need" for family planning.	Journal Article
Druk Travel Service	2012	Region of Bhutan.	Online 
Fischbein, M., & Ajzen, I.	2010	Predicting and changing behaviour: The reasoned action approach.	Monograph
Wikipedia	n.d.	Geography of Bhutan.	Online
Gross National Happiness Commision	2010	Population Perspective Plan: Bhutan 2010.	Monograph
Gross National Happiness Commision	2010	Population and development situation analysis: Bhutan 2010.	Monograph
Hailemariam, A., & Haddis, F.	2011	Factors affecting unmet need for family planning in southern nations, nationalities and peoples region, Ethiopia.	Journal Article
Igwegbe, A. O., Ugboaja, J. O., & Monago, E.	2009	Prevalence and determinants of family planning in Nnewi, south-east Nigeria.	Journal Article
Ikamari, L. D., & Lwanga, C. K.	2000	Correlates of unmet need for contraception in Zambia.	Journal Article
Kamal, S. M. M.	2011	Trends and determinants of unmet need of family planning in Bangladesh.	Paper
Korra, A.	2002	Attitudes towardfamily planningfor nonuse among women with unmet need for family planning in Ethiopia.	Monograph
Ministry of Health, Bhutan	2008	Adolescent health and development.	Monograph
Ministry of Health and Education, Bhutan	2000	Annual health bulletin.	Bulletin 
Ministry of Health and Education, Bhutan	2010	Annual health bulletin.	Bulletin
Ministry of Works and Human Settlement, Bhutan	2008	Bhutan National Urbanization Strategy.	Monograph
National Statistical Bureau, Bhutan	2005	Bhutan Living Standard Survey 2005 Report.	Report 
National Statistics Bureau	2007	Poverty analysis report 2007.	Report
National Statistics Bureau	2011	Bhutan Multiple Indicator Survey 2010.	Survey
National Statistics and Evaluation Office & ORC Macro	2003	Eritrea Demographic and Health Survey 2002.	Survey
Office of Census Commission	2005	Population and Housing Census of Bhutan 2005.	Census
Omwango, M. O., & Khasakhala, A. A.	2002	Factors influencing couple 's unmet need for contraception in Kenya.	Monograph
Pelzom, K.	2009	Status of women in a Bhutanese society	Paper
Phuong, N. N.	1996	Determinants of unmet need for family planning in Vietnam.	Thesis
Riyami, A. A., Afifi, M., & Mabry, R. M.	2004	Women's autonomy, education and employment in Oman and their influence on contraceptive use.	Journal Article
Robey, B., Ross, J., & Bhushan, I.	1996	Meeting unmet neea? New strategies based on Demographic and Health Surveys.	Report
Royal Government of Bhutan.	2003	Bhutan Millennium Development Goals Report 2002.	Report
Royal Government of Bhutan.	2004	Reproductive health profile: Bhutan.	Monograph
UNFPA	2008	Reducing unmet need for family planning: Evidence-based strategies and approaches.	Journal Article
USAID	2006	Unmet need for family planning.	Online
Westoff, C. F.	1978	The unmet need for birth control in five Asian countries.	Journal Article
Westoff, C. F.	1988	Is the KAP-gap real?	Journal Article
Westoff, C. F.	2001	Unmet need at the end of the century.	Report
Westoff, C. F.	2006	New estimates of unmel need and demand for family planning. Report
Westoff, C. F.	2012	Unmet need for modern contraceptive methods.	Monograph
Westoff, C. F., & Bankole, A.	1995	Unmet need: 1990-1999.	Monograph
Westoff C. F., & Ochoa, L. H.	1991	Unmet need and the demand for family planning.	Monograph
Westoff, C. F., & Pebley, A. R.	1981	Alternative measures of unmet need for family planning in developing countries.	Journal Article
World Health Organization	2000	Adolescent pregnancy and early marriage: Results of a survey on youth awareness.	Survey
World Health Organization	n. d.	Bhutan and family planning: An overview.	Monograph
